layer_1idx,avg_r10,avg_r40
1,0.2607,0.5262
2,0.3835,0.6311
3,0.3826,0.5444
4,0.3673,0.5124
5,0.3665,0.5321
6,0.3818,0.5566
7,0.3884,0.5238
8,0.4595,0.5763
9,0.5609,0.6242
10,0.5419,0.6113
11,0.5859,0.6329
12,0.5899,0.6741
13,0.4923,0.6054
14,0.551,0.7076
15,0.5078,0.6486
16,0.5233,0.6693
17,0.4882,0.6296
18,0.483,0.6398
19,0.4761,0.6601
20,0.4636,0.642
21,0.3709,0.5393
22,0.4179,0.59
23,0.3723,0.5576
24,0.334,0.5204
25,0.3094,0.4962
26,0.2538,0.467
27,0.2409,0.463
28,0.2764,0.486
29,0.2716,0.4886
30,0.3012,0.506
31,0.3215,0.4951
32,0.2708,0.4688
