sweep,value,acc,ttft_ms,ttft_std_ms,vectors,load_ratio,fallback,disk_chunks,pcie_chunks,fullload_ttft_ms
alpha,0.0,0.75,69.79754204965299,103.23589338336885,39868416,1.0,1.0,2496,0,
alpha,0.2,0.75,103.53916950730815,231.35072445209974,38567400,0.9673672513099091,0.9375,2496,0,
alpha,0.4,0.7,66.56655783040657,82.69330527704307,29565043,0.7415655289640802,0.5069444444444444,2496,0,
alpha,0.6,0.65,100.8350120132996,236.28316898086584,20689599,0.5189471033913161,0.08333333333333333,2496,0,
alpha,0.8,0.65,63.888704455975024,78.47494613297246,18933984,0.47491187008784097,0.0,2496,0,
alpha,1.0,0.65,75.29283899606929,115.10555125166326,18933984,0.47491187008784097,0.0,2496,0,
alpha,1.2,0.65,72.84751984601219,95.73146240159934,18933984,0.47491187008784097,0.0,2496,0,
probe,1,0.45,60.418900878479086,77.49499987552839,16940448,0.4249089805825243,0.0,2496,0,
probe,2,0.7,96.31281423692901,219.43937907032404,20020356,0.502160808194637,0.09375,2496,0,
probe,3,0.65,64.63741055793231,79.02117380955838,20689599,0.5189471033913161,0.08333333333333333,2496,0,
probe,4,0.65,66.48254379009207,79.81731952232994,21711888,0.5445886789181692,0.08854166666666667,2496,0,
probe,5,0.65,75.35517469255461,115.3565844104777,22256216,0.5582417921996199,0.06944444444444445,2496,0,
chunk,16,0.65,175.093705765903,417.86878463927303,20689599,0.5189471033913161,0.08333333333333333,9152,0,1016.3105755345896
chunk,32,0.65,86.80076923014389,161.76653320180287,20689599,0.5189471033913161,0.08333333333333333,4672,0,715.0539107387885
chunk,64,0.65,98.78991932297747,225.04428713401728,20689599,0.5189471033913161,0.08333333333333333,2496,0,569.1565244924277
chunk,128,0.65,59.081446327683004,82.2414669636258,20689599,0.5189471033913161,0.08333333333333333,1344,0,489.8424223065376
chunk,256,0.65,87.74932691206534,198.71893392832578,20689599,0.5189471033913161,0.08333333333333333,832,0,439.04136621858925
