budget,method,accuracy,ttft_mean_ms,ssd_mb,ssd_ratio,touched_chunk_fraction,selector_ms,n_chunks_selected
0.25,FullLoad,62.08,706.4,1165.1,1.0,1.0,613.95,0
0.25,Random,40.5,433.6,302.9,0.26,0.243,6.96,8.5
0.25,VisionZip Static,46.67,330.2,306.1,0.263,0.243,4.12,8.5
0.25,Diverse Only,58.33,405.2,296.6,0.255,0.243,18.13,8.5
0.25,Static + Diverse,60.83,353.8,300.4,0.258,0.243,15.25,8.5
0.25,Hybrid + Diverse,58.33,385.1,300.4,0.258,0.243,17.0,8.5
0.375,FullLoad,62.08,684.2,1165.1,1.0,1.0,591.8,0
0.375,Random,52.08,556.9,463.7,0.398,0.381,8.15,13.4
0.375,VisionZip Static,52.08,436.1,468.8,0.402,0.381,4.85,13.4
0.375,Diverse Only,60.42,563.9,457.3,0.393,0.381,29.24,13.4
0.375,Static + Diverse,60.83,486.4,460.2,0.395,0.381,19.79,13.4
0.375,Hybrid + Diverse,60.42,531.5,460.0,0.395,0.381,22.5,13.4
0.375,SparseVLM,60.83,828.1,1045.0,0.897,0.843,719.08,0
0.5,FullLoad,62.08,700.3,1165.1,1.0,1.0,606.32,0
0.5,Random,55.0,639.5,597.4,0.513,0.496,8.52,17.4
0.5,VisionZip Static,55.42,510.8,603.8,0.518,0.496,5.2,17.4
0.5,Diverse Only,62.08,662.6,591.5,0.508,0.496,37.67,17.4
0.5,Static + Diverse,62.5,580.0,594.2,0.51,0.496,22.37,17.4
0.5,Hybrid + Diverse,61.25,623.0,594.4,0.51,0.496,24.79,17.4
