dataset,method,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,selector_ms,selector_ms_p50,selector_ms_p95,ssd_ms,ssd_ms_p50,ssd_ms_p95,scatter_ms,model_ms,hook_ms,speedup_vs_fullload
gqa_large,ReComp,539.1363081439764,540.8690515905619,617.8721651434898,,,,,,,,,,1.3148021695086922
gqa_large,FullLoad,708.857587608607,703.5026401281357,838.4237483143806,,,,416.6101874398531,412.34393417835236,505.0076853483915,,,616.3156857910539,1.0
gqa_large,SparseVLM,797.845450323468,802.3691792041063,933.0335792154074,,,,417.6710515286978,417.4701068550348,507.65730775892735,,,687.4757256154521,0.8884647864084668
gqa_large,Static+Diverse 25%,390.4664137223853,388.5313831269741,469.8931138962507,14.88079637729166,15.079943463206291,17.988164350390434,216.53056906119681,213.83884362876415,269.5051081478595,51.88063044368215,70.09031980726789,0.0,1.8154124470039366
gqa_large,Static+Diverse 50%,616.4852152268093,616.5895480662584,726.3699673116207,21.909503786498483,22.363582625985146,24.993491917848583,352.39817970098323,349.136296659708,422.22568802535534,90.696371433164,72.26542942697489,0.0,1.1498371252063413
gqa_large_calib4,FullLoad,680.7862056961542,672.87477850914,826.1790575459598,,,,382.14173091551925,378.36191430687904,473.6944332718849,,,584.8400922610035,1.0
gqa_large_calib4,SparseVLM,787.7265050535716,796.0444502532482,918.0738078430294,,,,410.7029299664346,411.51750832796097,496.53254244476557,,,680.4339658327495,0.8642418419700825
gqa_large_calib4,Static+Diverse 25%,386.33104234556606,382.8625902533531,444.56628561019875,14.864363139377364,15.066247433423996,17.83678699284792,212.2993999644171,210.49413084983826,259.5779359340668,52.316308337487754,69.03852369117585,0.0,1.7621835448760117
gqa_large_calib4,Static+Diverse 50%,607.6294043726182,611.1250296235085,702.1661257371304,21.43076305996768,21.938342601060867,24.181293323636044,344.4923780104028,345.6869572401047,408.75310152769083,90.89872309395784,71.32274096336546,0.0,1.1203970722895988
vqav2,ReComp,544.6600322965533,538.9555804431438,723.8738908432424,,,,,,,,,,1.314392368699661
vqav2,FullLoad,715.8969899863005,708.433068357408,854.2277777567505,,,,418.5039894785732,415.69730173796415,513.0920769646764,,,617.8113305903971,1.0
vqav2,SparseVLM,786.1949037499726,790.3031408786774,926.2100606225431,,,,406.4040106907487,404.47046328336,499.95815856382245,,,669.7042964417487,0.9105846229371789
vqav2,Static+Diverse 25%,393.6878359988332,386.678796261549,491.8848764151335,14.69708970747888,14.804248698055744,18.101315200328827,216.02551560103893,212.40661852061749,272.8019726462662,51.78773494437337,74.42206228524446,0.0,1.8184381749311205
vqav2,Static+Diverse 50%,622.9613074436784,616.9824190437794,786.186661478132,22.04993705637753,22.435917519032955,26.93778863176703,352.9336650520563,348.32474030554295,450.98289009183645,90.98932839185,77.05721437744796,0.0,1.1491837156371456
textvqa,ReComp,590.5272414647043,568.849291652441,781.7126478999846,,,,,,,,,,1.2474901842000161
textvqa,FullLoad,736.6769372299314,723.4950996935368,921.5217463672161,,,,402.03770914301276,389.11479990929365,527.8472757898271,,,612.8688911609352,1.0
textvqa,SparseVLM,829.7907092384994,826.0534172877669,998.2781134545802,,,,415.34776271879673,411.6670060902834,507.66237359493954,,,687.7772439420223,0.8877864370233565
textvqa,Static+Diverse 25%,432.1028043925762,419.46249175816774,547.1827078610659,15.011966478079557,15.06736595183611,18.368141632527113,224.17690839990973,217.94693917036057,294.3535652942955,53.208057411015034,101.11511974409223,0.0,1.7048649759760455
textvqa,Static+Diverse 50%,669.3893504738808,648.5676346346736,850.080420821905,22.359975516796112,22.545569576323032,27.776731830090284,366.6785727441311,356.90805595368147,484.6354773268103,93.8214815557003,103.46755983307958,0.0,1.1005208503965827
