dataset,method,score,ssd_read_mb
gqa_large,ReComp,0.6379746835443038,0.0
gqa_large,FullLoad,0.6345991561181434,1170.0807394835444
gqa_large,Prefix25,0.5873417721518988,306.66998796962025
gqa_large,Prefix45,0.6286919831223629,553.6985658329114
vqav2,ReComp,0.8156666666666668,0.0
vqav2,FullLoad,0.8156666666666667,1176.493883392
vqav2,Prefix25,0.7633333333333333,309.01115289600006
vqav2,Prefix45,0.805,555.70333696
textvqa,ReComp,0.6193333333333334,0.0
textvqa,FullLoad,0.6193333333333334,1207.5338301440001
textvqa,Prefix25,0.5786666666666666,319.029248
textvqa,Prefix45,0.6219999999999999,572.3652096000001
