dataset,method,score,ttft_ms
gqa_large,ReComp,0.6379746835443038,514.9288948983905
gqa_large,FullLoad,0.6345991561181434,750.108690363972
gqa_large,Prefix25,0.5873417721518988,286.00749885358846
gqa_large,Prefix45,0.6286919831223629,430.84979418091444
vqav2,ReComp,0.8156666666666668,516.5901027817745
vqav2,FullLoad,0.8156666666666667,761.4388563650427
vqav2,Prefix25,0.7633333333333333,286.7163324065041
vqav2,Prefix45,0.805,434.74506231036503
textvqa,ReComp,0.6193333333333334,538.3987583767157
textvqa,FullLoad,0.6193333333333334,758.0882085806224
textvqa,Prefix25,0.5786666666666666,289.2906469551381
textvqa,Prefix45,0.6219999999999999,437.3372930744663
