dataset,statistic,method,reference,estimate,ci95_low,ci95_high,cluster_unit,n_clusters,n_resamples,seed
gqa_large,score,ReComp,,0.6379746835443038,0.6092827004219409,0.6666666666666666,image,395,10000,1234
gqa_large,score,FullLoad,,0.6345991561181434,0.6059071729957806,0.6632911392405063,image,395,10000,1234
gqa_large,score,Prefix25,,0.5873417721518988,0.5578059071729958,0.6168776371308017,image,395,10000,1234
gqa_large,score,Prefix45,,0.6286919831223629,0.5991561181434599,0.6582278481012658,image,395,10000,1234
gqa_large,paired_score_delta,ReComp,FullLoad,0.0033755274261603376,-0.0008438818565401629,0.008438818565400852,image,395,10000,1234
gqa_large,paired_score_delta,FullLoad,ReComp,-0.0033755274261603376,-0.008438818565400852,0.0008438818565401629,image,395,10000,1234
gqa_large,paired_score_delta,Prefix25,FullLoad,-0.04725738396624472,-0.06666666666666665,-0.027848101265822822,image,395,10000,1234
gqa_large,paired_score_delta,Prefix25,ReComp,-0.05063291139240506,-0.07004219409282697,-0.03122362869198314,image,395,10000,1234
gqa_large,paired_score_delta,Prefix45,FullLoad,-0.00590717299578059,-0.01856540084388192,0.006751054852320637,image,395,10000,1234
gqa_large,paired_score_delta,Prefix45,ReComp,-0.009282700421940928,-0.021940928270042237,0.0033755274261603185,image,395,10000,1234
vqav2,score,ReComp,,0.8156666666666668,0.7936666666666666,0.837,image,250,10000,1234
vqav2,score,FullLoad,,0.8156666666666667,0.7936666666666666,0.8366666666666668,image,250,10000,1234
vqav2,score,Prefix25,,0.7633333333333333,0.7376666666666666,0.789,image,250,10000,1234
vqav2,score,Prefix45,,0.805,0.782,0.827,image,250,10000,1234
vqav2,paired_score_delta,ReComp,FullLoad,0.0,-0.0033333333333332993,0.0033333333333334103,image,250,10000,1234
vqav2,paired_score_delta,FullLoad,ReComp,0.0,-0.0033333333333334103,0.0033333333333332993,image,250,10000,1234
vqav2,paired_score_delta,Prefix25,FullLoad,-0.05233333333333333,-0.07033333333333325,-0.03499999999999992,image,250,10000,1234
vqav2,paired_score_delta,Prefix25,ReComp,-0.05233333333333333,-0.07033333333333325,-0.03500000000000003,image,250,10000,1234
vqav2,paired_score_delta,Prefix45,FullLoad,-0.010666666666666668,-0.02066666666666661,-0.0006666666666668153,image,250,10000,1234
vqav2,paired_score_delta,Prefix45,ReComp,-0.010666666666666668,-0.020666666666666722,-0.0006666666666667043,image,250,10000,1234
textvqa,score,ReComp,,0.6193333333333334,0.5786666666666667,0.66,image,500,10000,1234
textvqa,score,FullLoad,,0.6193333333333334,0.5786666666666667,0.66,image,500,10000,1234
textvqa,score,Prefix25,,0.5786666666666666,0.5366666666666666,0.62,image,500,10000,1234
textvqa,score,Prefix45,,0.6219999999999999,0.5813333333333334,0.6626666666666666,image,500,10000,1234
textvqa,paired_score_delta,ReComp,FullLoad,0.0,0.0,0.0,image,500,10000,1234
textvqa,paired_score_delta,FullLoad,ReComp,0.0,0.0,0.0,image,500,10000,1234
textvqa,paired_score_delta,Prefix25,FullLoad,-0.04066666666666667,-0.06733333333333336,-0.014000000000000123,image,500,10000,1234
textvqa,paired_score_delta,Prefix25,ReComp,-0.04066666666666667,-0.06733333333333336,-0.014000000000000123,image,500,10000,1234
textvqa,paired_score_delta,Prefix45,FullLoad,0.0026666666666666674,-0.014683333333333472,0.020666666666666503,image,500,10000,1234
textvqa,paired_score_delta,Prefix45,ReComp,0.0026666666666666674,-0.014683333333333472,0.020666666666666503,image,500,10000,1234
