dataset,method,budget,n_images,n_questions,score,score_pct,quality_delta_vs_fullload,quality_delta_vs_fullload_pp,prediction_agreement_vs_recomp,first_token_agreement_vs_recomp,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,core_ttft_mean_ms,decode_mean_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,ttft_delta_vs_recomp_ms,ttft_reduction_vs_recomp_pct,e2e_delta_vs_recomp_ms,e2e_reduction_vs_recomp_pct,ssd_read_bytes_mean,ssd_read_mb_mean,ssd_read_ms_mean,ssd_read_ms_p50,ssd_read_ms_p95,ssd_read_ratio_vs_fullload,ssd_reduction_vs_fullload_pct,normal_preads_mean,separator_preads_mean,total_preads_mean,ssd_chunk_units_mean,selector_ms_mean,selector_ms_p50,selector_ms_p95,scatter_ms_mean,prefill_ms_mean,actual_selected_normal_chunk_fraction,actual_total_ssd_byte_ratio,selected_kv_ratio,importance_mass_coverage
gqa_large,ReComp,,395,1185,0.6379746835443038,63.79746835443038,0.0033755274261603185,0.33755274261603185,1.0,1.0,514.9288948983905,519.3184009985998,576.2001667870209,500.4782147684924,26.193169688900248,541.2089648065138,544.5263220462948,611.3927627913654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.47813705237434,,,,
gqa_large,FullLoad,1.0,395,1185,0.6345991561181434,63.459915611814345,0.0,0.0,0.9907172995780591,0.9907172995780591,750.108690363972,746.0431279614568,887.4175145523623,749.7623896716508,31.53124310917178,781.7765283913112,776.7937110038474,923.766009812243,235.1797954655815,-45.672285590419015,240.56756358479743,-44.450033023899024,1170080739.4835443,1170.0807394835444,483.07067712391665,479.78697740472853,579.1844379156828,1.0,0.0,64.0,0.0,64.0,2259.281012658228,0.0,0.0,0.0,205.3926605193872,744.8854733788004,1.0,1.0,1.0,
gqa_large,Prefix25,0.25,395,1185,0.5873417721518988,58.734177215189874,-0.04725738396624468,-4.725738396624468,0.8227848101265823,0.830379746835443,286.00749885358846,286.3847049884498,337.9798030015081,285.54905654552084,27.711107136626662,314.02688452184105,313.4829830378294,377.6733605423942,-228.921396044802,44.45689459512162,-227.18208028467274,41.976777004403836,306669987.9696202,306.66998796962025,155.35827299289184,154.32153397705406,189.61773701012135,0.2620930142863301,73.79069857136699,64.0,1.0,65.0,547.8075949367088,0.2169441961278581,0.22060575429350138,0.2769702579826116,51.00910826468298,45.72344796146553,0.24244360994238423,0.26207876618194853,0.26207876618194853,0.7324616643126475
gqa_large,Prefix45,0.45,395,1185,0.6286919831223629,62.869198312236286,-0.005907172995780585,-0.5907172995780585,0.9248945147679325,0.9282700421940928,430.84979418091444,428.9657169720158,520.3540046699345,430.53240927509995,27.412035404645568,458.63328192005804,458.30080297309905,555.0457431701943,-84.07910071747602,16.328293391666655,-82.57568288645575,15.257633974333219,553698565.8329114,553.6985658329114,240.94787348643385,238.65349381230772,304.36636419035494,0.4732139818635981,52.6786018136402,64.0,1.0,65.0,1018.9772151898734,0.32997580376779856,0.3368681063875556,0.3777516772970557,81.8240475053958,47.531187858133876,0.4505024085346357,0.4727260456095416,0.4727260456095416,0.8885438683205752
vqav2,ReComp,,250,1000,0.8156666666666668,81.56666666666668,1.1102230246251565e-16,1.1102230246251565e-14,1.0,1.0,516.5901027817745,510.5568504659459,687.0204370643478,502.1003481136868,30.824048831360415,547.5048999438295,544.3023554398678,723.8208003400359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,502.10026681399904,,,,
vqav2,FullLoad,1.0,250,1000,0.8156666666666667,81.56666666666666,0.0,0.0,0.992,1.0,761.4388563650427,753.5959000233561,919.363498018356,761.1416249166941,35.712739215930924,797.2822171283187,790.1953339460306,958.2091737014706,244.84875358326826,-47.39710502868477,249.77731718448922,-45.621019503225405,1176493883.392,1176.493883392,482.95820843440015,479.94935081806034,590.1819706894456,1.0,0.0,64.0,0.0,64.0,2271.232,0.0,0.0,0.0,215.81950195936952,756.2564429199556,1.0,1.0,1.0,
vqav2,Prefix25,0.25,250,1000,0.7633333333333333,76.33333333333333,-0.05233333333333334,-5.233333333333334,0.822,0.868,286.7163324065041,285.14474048279226,354.35721594258206,286.1964409245411,32.18371056870092,319.27800562465563,314.3967050127685,397.8276754904073,-229.8737703752704,44.49829161213664,-228.22689431917388,41.68490443511802,309011152.896,309.01115289600006,155.967893150053,153.19791971705854,196.4270840107929,0.2626542791748961,73.73457208251038,64.0,1.0,65.0,552.448,0.21586475742515177,0.2148764906451106,0.28171004378236825,50.99532589351293,45.094806999200955,0.2430333577384898,0.262487830974801,0.262487830974801,0.7501938116520142
vqav2,Prefix45,0.45,250,1000,0.805,80.5,-0.010666666666666602,-1.0666666666666602,0.931,0.953,434.74506231036503,427.9905885341577,555.9094243857543,434.43107226560824,32.15083951188717,467.401425447315,463.06216646917164,599.7531339584384,-81.84504047140945,15.843323368117957,-80.10347449651454,14.630640658144364,555703336.96,555.70333696,243.07858637266327,237.3283480410464,323.1779666733928,0.4723384836968535,52.766151630314646,64.0,1.0,65.0,1022.976,0.3377174254273996,0.34100800985470414,0.3841801197268069,82.53722830815241,47.05203900684137,0.44993205082788357,0.4719507259629023,0.4719507259629023,0.8974239817678885
textvqa,ReComp,,500,500,0.6193333333333334,61.93333333333334,0.0,0.0,1.0,1.0,538.3987583767157,529.4356699450873,716.1814603779931,518.7459651010577,56.026690169936046,594.5126837275457,578.2161824754439,772.2200800024439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,518.7458909025881,,,,
textvqa,FullLoad,1.0,500,500,0.6193333333333334,61.93333333333334,0.0,0.0,0.98,0.992,758.0882085806224,739.7211534553207,941.6243796178605,757.6963520376012,60.45187014597468,818.6708707432263,796.9767670147121,1013.9141588471831,219.68945020390674,-40.804226753099385,224.1581870156806,-37.70452559737282,1207533830.144,1207.5338301440001,490.8094843882136,478.3520419150591,616.3608836825006,1.0,0.0,64.0,0.0,64.0,2331.008,0.0,0.0,0.0,207.69461267953739,752.7293292002287,1.0,1.0,1.0,
textvqa,Prefix25,0.25,500,500,0.5786666666666666,57.86666666666665,-0.04066666666666685,-4.066666666666685,0.702,0.854,289.2906469551381,288.75454544322565,350.77766248141415,288.62738144025207,60.68048579362221,350.4559163984377,342.224717955105,460.25078672682866,-249.10811142157763,46.26832947621279,-244.05676732910797,41.05156609929532,319029248.0,319.029248,155.29178810445592,153.9794054115191,190.27661698055454,0.26419901458326456,73.58009854167355,64.0,1.0,65.0,569.856,0.21863225661218166,0.21792599000036716,0.2947335597127676,52.18756277416833,45.622502997284755,0.24402255072598464,0.2638108835320838,0.2638108835320838,0.7745352349217034
textvqa,Prefix45,0.45,500,500,0.6219999999999999,62.19999999999999,0.002666666666666484,0.2666666666666484,0.848,0.92,437.3372930744663,432.26243602111936,569.3073964910582,436.969396248227,58.46797702717595,496.50968793034554,486.1276170122437,643.2492646621541,-101.06146530224942,18.770746352935877,-98.00299579720013,16.484592924532645,572365209.6,572.3652096000001,244.4232363961637,238.36630408186466,332.104922621511,0.47399517538299085,52.60048246170091,64.0,1.0,65.0,1053.056,0.3376696149352938,0.34278014209121466,0.38521132664754987,83.44346201745793,46.941082631703466,0.45138611120817396,0.4737211721441713,0.4737211721441713,0.9103042812012723
