dataset,statistic,method,reference,estimate,ci95_low,ci95_high,cluster_unit,n_clusters,n_resamples,seed
textvqa,score,ReComp,,0.6193333333333334,0.5786666666666667,0.66,image,500,10000,1234
textvqa,score,FullLoad,,0.6193333333333334,0.5786666666666667,0.66,image,500,10000,1234
textvqa,score,Prefix25,,0.5786666666666666,0.5366666666666666,0.62,image,500,10000,1234
textvqa,score,Prefix45,,0.6219999999999999,0.5813333333333334,0.6626666666666666,image,500,10000,1234
textvqa,paired_score_delta,ReComp,FullLoad,0.0,0.0,0.0,image,500,10000,1234
textvqa,paired_score_delta,FullLoad,ReComp,0.0,0.0,0.0,image,500,10000,1234
textvqa,paired_score_delta,Prefix25,FullLoad,-0.04066666666666667,-0.06733333333333336,-0.014000000000000123,image,500,10000,1234
textvqa,paired_score_delta,Prefix25,ReComp,-0.04066666666666667,-0.06733333333333336,-0.014000000000000123,image,500,10000,1234
textvqa,paired_score_delta,Prefix45,FullLoad,0.0026666666666666674,-0.014683333333333472,0.020666666666666503,image,500,10000,1234
textvqa,paired_score_delta,Prefix45,ReComp,0.0026666666666666674,-0.014683333333333472,0.020666666666666503,image,500,10000,1234
