dataset,category_source,category_rule,dataset_interpretation,question_type,method,n_questions,score,score_pct,quality_delta_vs_fullload,quality_delta_vs_fullload_pp
vqav2,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,yes/no,ReComp,392,0.9149659863945578,91.49659863945578,0.0,0.0
vqav2,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,yes/no,FullLoad,392,0.9149659863945578,91.49659863945578,0.0,0.0
vqav2,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,yes/no,Prefix25,392,0.8758503401360543,87.58503401360544,-0.0391156462585035,-3.91156462585035
vqav2,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,yes/no,Prefix45,392,0.9039115646258504,90.39115646258504,-0.011054421768707412,-1.1054421768707412
vqav2,question-text regex heuristic,\bcolou?r|what colou?r\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,color,ReComp,107,0.825545171339564,82.5545171339564,0.0,0.0
vqav2,question-text regex heuristic,\bcolou?r|what colou?r\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,color,FullLoad,107,0.825545171339564,82.5545171339564,0.0,0.0
vqav2,question-text regex heuristic,\bcolou?r|what colou?r\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,color,Prefix25,107,0.7819314641744547,78.19314641744548,-0.04361370716510926,-4.361370716510926
vqav2,question-text regex heuristic,\bcolou?r|what colou?r\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,color,Prefix45,107,0.8161993769470406,81.61993769470406,-0.009345794392523366,-0.9345794392523366
vqav2,question-text regex heuristic,\bhow many|number of\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,count,ReComp,106,0.7515723270440249,75.15723270440249,0.0062893081761004055,0.6289308176100405
vqav2,question-text regex heuristic,\bhow many|number of\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,count,FullLoad,106,0.7452830188679245,74.52830188679245,0.0,0.0
vqav2,question-text regex heuristic,\bhow many|number of\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,count,Prefix25,106,0.7106918238993709,71.0691823899371,-0.03459119496855356,-3.4591194968553562
vqav2,question-text regex heuristic,\bhow many|number of\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,count,Prefix45,106,0.7484276729559747,74.84276729559747,0.0031446540880502027,0.3144654088050203
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,ReComp,31,0.7849462365591396,78.49462365591397,0.0,0.0
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,FullLoad,31,0.7849462365591396,78.49462365591397,0.0,0.0
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,Prefix25,31,0.7096774193548386,70.96774193548386,-0.07526881720430101,-7.526881720430101
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,Prefix45,31,0.7634408602150535,76.34408602150535,-0.021505376344086113,-2.1505376344086113
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,ReComp,13,0.46153846153846156,46.15384615384615,0.0,0.0
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,FullLoad,13,0.46153846153846156,46.15384615384615,0.0,0.0
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,Prefix25,13,0.6923076923076923,69.23076923076923,0.23076923076923073,23.076923076923073
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,Prefix45,13,0.46153846153846156,46.15384615384615,0.0,0.0
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,ReComp,295,0.7717514124293785,77.17514124293785,-0.002259887005649719,-0.2259887005649719
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,FullLoad,295,0.7740112994350282,77.40112994350282,0.0,0.0
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,Prefix25,295,0.6926553672316383,69.26553672316383,-0.08135593220338988,-8.135593220338988
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,Prefix45,295,0.7559322033898302,75.59322033898303,-0.018079096045197973,-1.8079096045197973
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,ReComp,56,0.5535714285714286,55.35714285714286,0.0,0.0
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,FullLoad,56,0.5535714285714286,55.35714285714286,0.0,0.0
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,Prefix25,56,0.4583333333333333,45.83333333333333,-0.09523809523809529,-9.523809523809529
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,Prefix45,56,0.5595238095238095,55.952380952380956,0.005952380952380931,0.5952380952380931
