dataset,statistic,method,reference,estimate,ci95_low,ci95_high,cluster_unit,n_clusters,n_resamples,seed
vqav2,score,ReComp,,0.8156666666666668,0.7936666666666666,0.837,image,250,10000,1234
vqav2,score,FullLoad,,0.8156666666666667,0.7936666666666666,0.8366666666666668,image,250,10000,1234
vqav2,score,Prefix25,,0.7633333333333333,0.7376666666666666,0.789,image,250,10000,1234
vqav2,score,Prefix45,,0.805,0.782,0.827,image,250,10000,1234
vqav2,paired_score_delta,ReComp,FullLoad,0.0,-0.0033333333333332993,0.0033333333333334103,image,250,10000,1234
vqav2,paired_score_delta,FullLoad,ReComp,0.0,-0.0033333333333334103,0.0033333333333332993,image,250,10000,1234
vqav2,paired_score_delta,Prefix25,FullLoad,-0.05233333333333333,-0.07033333333333325,-0.03499999999999992,image,250,10000,1234
vqav2,paired_score_delta,Prefix25,ReComp,-0.05233333333333333,-0.07033333333333325,-0.03500000000000003,image,250,10000,1234
vqav2,paired_score_delta,Prefix45,FullLoad,-0.010666666666666668,-0.02066666666666661,-0.0006666666666668153,image,250,10000,1234
vqav2,paired_score_delta,Prefix45,ReComp,-0.010666666666666668,-0.020666666666666722,-0.0006666666666667043,image,250,10000,1234
