image_id,n_questions,fullload_accuracy,accuracy_20,delta_vs_fullload_pp_20,accuracy_25,delta_vs_fullload_pp_25,accuracy_30,delta_vs_fullload_pp_30,accuracy_35,delta_vs_fullload_pp_35,accuracy_40,delta_vs_fullload_pp_40,accuracy_45,delta_vs_fullload_pp_45,accuracy_50,delta_vs_fullload_pp_50,wrong25_recovered_at_30_or_35_count,wrong25_never_recovers_through50_count,fullload_correct_25wrong_count,fullload_correct_25wrong_recovered_at_30_or_35_count,fullload_correct_25wrong_never_recovers_through50_count
n133585,6,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,1,0,0,0
n154856,6,0.5,0.5,0.0,0.3333333333333333,-16.666666666666668,0.3333333333333333,-16.666666666666668,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1,3,1,1,0
n16425,6,0.8333333333333334,1.0,16.666666666666664,1.0,16.666666666666664,1.0,16.666666666666664,1.0,16.666666666666664,1.0,16.666666666666664,0.8333333333333334,0.0,0.8333333333333334,0.0,0,0,0,0,0
n166008,6,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0,2,0,0,0
n16656,6,1.0,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0,1,1,0,1
n195249,6,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0,2,0,0,0
n199286,6,0.3333333333333333,0.16666666666666666,-16.666666666666664,0.16666666666666666,-16.666666666666664,0.16666666666666666,-16.666666666666664,0.16666666666666666,-16.666666666666664,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,4,1,0,0
n234722,6,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,0,0,0
n244826,6,0.5,0.16666666666666666,-33.333333333333336,0.16666666666666666,-33.333333333333336,0.3333333333333333,-16.666666666666668,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,2,3,2,2,0
n262929,6,0.8333333333333334,0.16666666666666666,-66.66666666666667,0.3333333333333333,-50.0,0.5,-33.333333333333336,0.5,-33.333333333333336,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,1,2,3,1,1
n272098,6,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0,5,0,0,0
n281241,6,0.3333333333333333,0.0,-33.33333333333333,0.16666666666666666,-16.666666666666664,0.16666666666666666,-16.666666666666664,0.16666666666666666,-16.666666666666664,0.16666666666666666,-16.666666666666664,0.3333333333333333,0.0,0.3333333333333333,0.0,0,4,1,0,0
n293477,6,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,1,0,0,0
n298104,6,0.5,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0,2,0,0,0
n302387,6,0.8333333333333334,0.3333333333333333,-50.0,0.3333333333333333,-50.0,0.5,-33.333333333333336,0.5,-33.333333333333336,0.3333333333333333,-50.0,0.5,-33.333333333333336,0.5,-33.333333333333336,1,3,3,1,2
n314171,6,0.8333333333333334,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,1,1,1,1,0
n329479,6,0.16666666666666666,0.5,33.333333333333336,0.6666666666666666,50.0,0.6666666666666666,50.0,0.5,33.333333333333336,0.5,33.333333333333336,0.5,33.333333333333336,0.5,33.333333333333336,0,2,0,0,0
n331357,6,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,0,0,0
n355567,6,0.3333333333333333,0.5,16.666666666666668,0.5,16.666666666666668,0.5,16.666666666666668,0.6666666666666666,33.33333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2,0,0,0
n37274,6,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,1,0,0,0
n390187,6,0.8333333333333334,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,1,1,0,0
n406334,6,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,4,0,0,0
n437064,6,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,1,1,1,1,0
n44249,6,1.0,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,0.8333333333333334,-16.666666666666664,1.0,0.0,1.0,0.0,0,0,1,0,0
n450919,6,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,16.666666666666664,1.0,16.666666666666664,0,0,0,0,0
n470131,6,0.6666666666666666,0.5,-16.666666666666664,0.8333333333333334,16.666666666666675,0.6666666666666666,0.0,0.5,-16.666666666666664,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,-16.666666666666664,0,1,0,0,0
n472825,6,0.16666666666666666,0.5,33.333333333333336,0.0,-16.666666666666664,0.0,-16.666666666666664,0.0,-16.666666666666664,0.0,-16.666666666666664,0.0,-16.666666666666664,0.0,-16.666666666666664,0,6,1,0,1
n48494,6,0.5,0.5,0.0,0.5,0.0,0.3333333333333333,-16.666666666666668,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,0,0,0
n494918,6,0.8333333333333334,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,1,0,0,0
n498140,6,0.3333333333333333,0.16666666666666666,-16.666666666666664,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,-16.666666666666664,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,3,1,0,0
n51002,6,0.5,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.6666666666666666,16.666666666666664,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,2,0,0,0
n522733,6,0.6666666666666666,0.3333333333333333,-33.33333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0,2,0,0,0
n52544,6,0.6666666666666666,0.5,-16.666666666666664,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0,2,0,0,0
n527589,6,0.8333333333333334,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,1,0,0,0
n540852,6,0.8333333333333334,0.5,-33.333333333333336,0.6666666666666666,-16.666666666666675,0.8333333333333334,0.0,0.8333333333333334,0.0,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,0.6666666666666666,-16.666666666666675,1,1,1,0,1
n567860,6,0.16666666666666666,0.3333333333333333,16.666666666666664,0.3333333333333333,16.666666666666664,0.3333333333333333,16.666666666666664,0.3333333333333333,16.666666666666664,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0,4,0,0,0
n58220,6,0.8333333333333334,0.8333333333333334,0.0,1.0,16.666666666666664,1.0,16.666666666666664,1.0,16.666666666666664,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0,0,0,0,0
n67005,6,0.5,0.6666666666666666,16.666666666666664,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,0,0,0
n90294,6,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0,2,0,0,0
n9181,6,0.5,0.3333333333333333,-16.666666666666668,0.5,0.0,0.3333333333333333,-16.666666666666668,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,3,0,0,0
