question_type,budget,budget_pct,n_questions,accuracy,fullload_accuracy,delta_vs_fullload_pp,both_correct,budget_only_correct,fullload_only_correct,neither_correct,recompute_accuracy,delta_vs_recompute_pp,both_correct_vs_recompute,budget_only_correct_vs_recompute,recompute_only_correct,neither_correct_vs_recompute
all,0.2,20,240,0.5458333333333333,0.6125,-6.666666666666677,116,15,31,78,0.625,-7.916666666666671,118,13,32,77
all,0.25,25,240,0.5791666666666667,0.6125,-3.3333333333333326,128,11,19,82,0.625,-4.583333333333329,130,9,20,81
all,0.3,30,240,0.5875,0.6125,-2.500000000000002,130,11,17,82,0.625,-3.749999999999998,132,9,18,81
all,0.35,35,240,0.5916666666666667,0.6125,-2.083333333333337,133,9,14,84,0.625,-3.3333333333333326,134,8,16,82
all,0.4,40,240,0.5916666666666667,0.6125,-2.083333333333337,137,5,10,88,0.625,-3.3333333333333326,138,4,12,86
all,0.45,45,240,0.6041666666666666,0.6125,-0.8333333333333415,141,4,6,89,0.625,-2.083333333333337,143,2,7,88
all,0.5,50,240,0.6,0.6125,-1.2500000000000067,140,4,7,89,0.625,-2.500000000000002,142,2,8,88
color,0.2,20,15,0.4,0.4,0.0,5,1,1,8,0.4,0.0,5,1,1,8
color,0.25,25,15,0.4666666666666667,0.4,6.666666666666665,6,1,0,8,0.4,6.666666666666665,6,1,0,8
color,0.3,30,15,0.4666666666666667,0.4,6.666666666666665,6,1,0,8,0.4,6.666666666666665,6,1,0,8
color,0.35,35,15,0.5333333333333333,0.4,13.33333333333333,6,2,0,7,0.4,13.33333333333333,6,2,0,7
color,0.4,40,15,0.4666666666666667,0.4,6.666666666666665,6,1,0,8,0.4,6.666666666666665,6,1,0,8
color,0.45,45,15,0.4,0.4,0.0,6,0,0,9,0.4,0.0,6,0,0,9
color,0.5,50,15,0.4,0.4,0.0,6,0,0,9,0.4,0.0,6,0,0,9
material/attribute,0.2,20,11,0.8181818181818182,0.45454545454545453,36.36363636363637,5,4,0,2,0.6363636363636364,18.181818181818187,7,2,0,2
material/attribute,0.25,25,11,0.7272727272727273,0.45454545454545453,27.272727272727277,5,3,0,3,0.6363636363636364,9.090909090909093,6,2,1,2
material/attribute,0.3,30,11,0.6363636363636364,0.45454545454545453,18.181818181818183,4,3,1,3,0.6363636363636364,0.0,5,2,2,2
material/attribute,0.35,35,11,0.7272727272727273,0.45454545454545453,27.272727272727277,5,3,0,3,0.6363636363636364,9.090909090909093,6,2,1,2
material/attribute,0.4,40,11,0.6363636363636364,0.45454545454545453,18.181818181818183,5,2,0,4,0.6363636363636364,0.0,6,1,1,3
