active_images,turns,full_visual_kv_bytes,full_visual_kv_gb,mean_total_context_tokens,turns_within_4096
1,219,616562688,0.616562688,1739.7671232876712,219
2,699,1233125376,1.233125376,5895.2861230329045,111
3,240,1849688064,1.849688064,8422.0875,10
4,209,2466250752,2.466250752,11167.387559808612,0
5,127,3082813440,3.08281344,13215.944881889764,0
6,3,3699376128,3.699376128,8150.333333333333,0
7,12,4315938816,4.315938816,9636.416666666666,0
8,8,4932501504,4.932501504,11984.875,0
9,31,5549064192,5.549064192,14381.870967741936,0
10,52,6165626880,6.16562688,15659.942307692309,0
11,24,6782189568,6.782189568,15633.583333333334,0
12,1,7398752256,7.398752256,24076,0
13,8,8015314944,8.015314944,20464.5,0
14,2,8631877632,8.631877632,23015,0
15,4,9248440320,9.24844032,25471.5,0
16,2,9865003008,9.865003008,26334,0
17,1,10481565696,10.481565696,28185,0
18,2,11098128384,11.098128384,29494.5,0
20,1,12331253760,12.33125376,32612,0
