dialog_id,turns,images,max_active_images,max_context_tokens,max_full_visual_kv_bytes,all_turns_within_4096
mmdu:83,7,3,3,7697,1849688064,False
mmdu:76,21,4,4,13422,2466250752,False
mmdu:31,17,5,5,14735,3082813440,False
mmdu:65,7,2,2,5719,1233125376,False
mmdu:20,19,3,3,13247,1849688064,False
mmdu:41,16,2,2,9565,1233125376,False
mmdu:58,20,4,4,15677,2466250752,False
mmdu:15,22,4,4,16739,2466250752,False
mmdu:39,20,5,5,15171,3082813440,False
mmdu:57,12,3,3,9814,1849688064,False
mmdu:68,7,5,5,10668,3082813440,False
mmdu:47,10,2,2,8573,1233125376,False
mmdu:72,16,2,2,8466,1233125376,False
mmdu:85,18,4,4,13490,2466250752,False
mmdu:2,17,3,3,12377,1849688064,False
mmdu:40,18,5,5,16072,3082813440,False
mmdu:32,20,5,5,18259,3082813440,False
mmdu:25,8,3,3,8574,1849688064,False
mmdu:80,7,3,3,7327,1849688064,False
mmdu:17,18,2,2,9097,1233125376,False
mmdu:104,12,11,11,17293,6782189568,False
mmdu:45,13,4,4,12359,2466250752,False
mmdu:69,8,2,2,3656,1233125376,True
mmdu:107,11,11,11,16929,6782189568,False
mmdu:109,19,20,20,32612,12331253760,False
mmdu:62,8,4,4,7638,2466250752,False
mmdu:37,21,5,5,18730,3082813440,False
mmdu:64,7,5,5,10178,3082813440,False
mmdu:95,15,2,2,8914,1233125376,False
mmdu:33,20,4,4,15072,2466250752,False
mmdu:35,15,2,2,9177,1233125376,False
mmdu:8,20,4,4,15030,2466250752,False
mmdu:36,10,2,2,4660,1233125376,False
mmdu:10,16,2,2,9114,1233125376,False
mmdu:28,20,5,5,20580,3082813440,False
mmdu:102,11,9,9,15650,5549064192,False
mmdu:11,16,2,2,9056,1233125376,False
mmdu:34,10,2,2,5753,1233125376,False
mmdu:67,15,2,2,8723,1233125376,False
mmdu:61,16,2,2,7701,1233125376,False
mmdu:78,20,2,2,10310,1233125376,False
mmdu:103,27,10,10,20419,6165626880,False
mmdu:73,7,4,4,9266,2466250752,False
mmdu:21,16,2,2,8337,1233125376,False
mmdu:3,20,4,4,17042,2466250752,False
mmdu:48,19,3,3,12975,1849688064,False
mmdu:97,16,2,2,8179,1233125376,False
mmdu:106,11,10,10,15806,6165626880,False
mmdu:75,15,2,2,9823,1233125376,False
mmdu:89,8,2,2,6629,1233125376,False
mmdu:43,16,2,2,9899,1233125376,False
mmdu:108,17,18,18,29166,11098128384,False
mmdu:71,15,2,2,8566,1233125376,False
mmdu:0,12,5,5,11033,3082813440,False
mmdu:84,10,2,2,4156,1233125376,False
mmdu:13,18,4,4,16672,2466250752,False
mmdu:51,16,2,2,7906,1233125376,False
mmdu:14,13,2,2,8212,1233125376,False
mmdu:16,16,2,2,8702,1233125376,False
mmdu:74,23,5,5,17071,3082813440,False
mmdu:86,17,3,3,12896,1849688064,False
mmdu:38,10,2,2,4632,1233125376,False
mmdu:5,16,2,2,9518,1233125376,False
mmdu:100,24,15,15,28791,9248440320,False
mmdu:19,10,2,2,4720,1233125376,False
mmdu:60,16,2,2,8639,1233125376,False
mmdu:59,16,2,2,8651,1233125376,False
mmdu:24,10,2,2,4894,1233125376,False
mmdu:6,15,2,2,8306,1233125376,False
mmdu:9,8,2,2,6267,1233125376,False
mmdu:77,17,3,3,12861,1849688064,False
mmdu:70,14,2,2,5839,1233125376,False
mmdu:81,21,5,5,16949,3082813440,False
mmdu:93,19,2,2,9078,1233125376,False
mmdu:99,19,3,3,13527,1849688064,False
mmdu:4,11,2,2,8691,1233125376,False
mmdu:105,12,11,11,16727,6782189568,False
mmdu:44,10,3,3,6912,1849688064,False
mmdu:79,22,4,4,15098,2466250752,False
mmdu:56,23,5,5,18908,3082813440,False
mmdu:96,16,2,2,8619,1233125376,False
mmdu:29,10,2,2,5692,1233125376,False
mmdu:18,17,3,3,13952,1849688064,False
mmdu:94,15,2,2,8040,1233125376,False
mmdu:1,11,4,4,9985,2466250752,False
mmdu:53,10,2,2,5457,1233125376,False
mmdu:7,16,2,2,7948,1233125376,False
mmdu:49,22,4,4,15909,2466250752,False
mmdu:55,19,3,3,11863,1849688064,False
mmdu:27,18,2,2,10938,1233125376,False
mmdu:91,19,4,4,15914,2466250752,False
mmdu:90,20,4,4,14221,2466250752,False
mmdu:63,16,2,2,7682,1233125376,False
mmdu:22,16,2,2,9030,1233125376,False
mmdu:30,13,3,3,12264,1849688064,False
mmdu:52,14,2,2,6471,1233125376,False
mmdu:46,5,4,4,7940,2466250752,False
mmdu:23,19,3,3,12233,1849688064,False
mmdu:26,13,3,3,9722,1849688064,False
mmdu:101,10,11,11,17862,6782189568,False
mmdu:92,16,2,2,10003,1233125376,False
mmdu:54,15,2,2,7727,1233125376,False
mmdu:50,10,2,2,5353,1233125376,False
mmdu:42,19,2,2,7904,1233125376,False
mmdu:87,6,3,3,6684,1849688064,False
mmdu:66,10,5,5,10431,3082813440,False
mmdu:12,15,2,2,8257,1233125376,False
mmdu:98,15,2,2,8972,1233125376,False
mmdu:88,24,5,5,16988,3082813440,False
mmdu:82,8,4,4,8556,2466250752,False
