dialog_id,turn_id,active_images,new_images_this_turn,text_and_marker_tokens_before_expansion,history_and_prompt_text_tokens,active_visual_tokens,total_context_tokens,reserved_context_tokens,within_4096_with_reserved_decode,full_visual_kv_bytes,cumulative_visual_kv_bytes_created
mmdu:83,1,3,3,50,47,3528,3575,3591,True,1849688064,1849688064
mmdu:83,2,3,0,603,600,3528,4128,4144,False,1849688064,1849688064
mmdu:83,3,3,0,1221,1218,3528,4746,4762,False,1849688064,1849688064
mmdu:83,4,3,0,1925,1922,3528,5450,5466,False,1849688064,1849688064
mmdu:83,5,3,0,2681,2678,3528,6206,6222,False,1849688064,1849688064
mmdu:83,6,3,0,3408,3405,3528,6933,6949,False,1849688064,1849688064
mmdu:83,7,3,0,4172,4169,3528,7697,7713,False,1849688064,1849688064
mmdu:76,1,1,1,32,31,1176,1207,1223,True,616562688,616562688
mmdu:76,2,1,0,423,422,1176,1598,1614,True,616562688,616562688
mmdu:76,3,1,0,871,870,1176,2046,2062,True,616562688,616562688
mmdu:76,4,2,1,1448,1446,2352,3798,3814,True,1233125376,1233125376
mmdu:76,5,2,0,2037,2035,2352,4387,4403,False,1233125376,1233125376
mmdu:76,6,3,1,2632,2629,3528,6157,6173,False,1849688064,1849688064
mmdu:76,7,3,0,3048,3045,3528,6573,6589,False,1849688064,1849688064
mmdu:76,8,3,0,3433,3430,3528,6958,6974,False,1849688064,1849688064
mmdu:76,9,4,1,3981,3977,4704,8681,8697,False,2466250752,2466250752
mmdu:76,10,4,0,4583,4579,4704,9283,9299,False,2466250752,2466250752
mmdu:76,11,4,0,5090,5086,4704,9790,9806,False,2466250752,2466250752
mmdu:76,12,4,0,5837,5833,4704,10537,10553,False,2466250752,2466250752
mmdu:76,13,4,0,6261,6257,4704,10961,10977,False,2466250752,2466250752
mmdu:76,14,4,0,6494,6490,4704,11194,11210,False,2466250752,2466250752
mmdu:76,15,4,0,6816,6812,4704,11516,11532,False,2466250752,2466250752
