dialog_id,image_id,method_key,acc1,acc2,acc3,avg,cache_hit_ttft_ms_mean,cache_hit_e2e_ms_mean,cache_hit_ssd_read_bytes_mean
mtgqa_000001,n229548,recompute,1.0,1.0,1.0,1.0,620.6290275440551,658.3436190267093,0.0
mtgqa_000001,n229548,fullload,1.0,1.0,1.0,1.0,826.7661689897068,869.0864949603565,1333788672.0
mtgqa_000001,n229548,prefix25,1.0,1.0,1.0,1.0,278.53594545740634,318.5756920138374,360710144.0
mtgqa_000001,n229548,prefix45,1.0,1.0,1.0,1.0,441.3644199958071,480.68942700047046,629145600.0
mtgqa_000002,n229548,recompute,1.0,1.0,1.0,1.0,611.7854790063575,649.3724085157737,0.0
mtgqa_000002,n229548,fullload,1.0,1.0,1.0,1.0,820.3481530654244,859.6388805890456,1333788672.0
mtgqa_000002,n229548,prefix25,1.0,1.0,1.0,1.0,295.02285248599946,341.5213564876467,360710144.0
mtgqa_000002,n229548,prefix45,1.0,1.0,1.0,1.0,435.27465395163745,475.5636259797029,629145600.0
mtgqa_000003,n229548,recompute,1.0,1.0,1.0,1.0,625.0719559611753,681.8424114608206,0.0
mtgqa_000003,n229548,fullload,1.0,1.0,1.0,1.0,847.9255635174923,911.8238015216775,1333788672.0
mtgqa_000003,n229548,prefix25,1.0,1.0,1.0,1.0,288.3947124937549,346.2940930039622,360710144.0
mtgqa_000003,n229548,prefix45,1.0,1.0,1.0,1.0,466.22819354524836,523.8426730502397,629145600.0
mtgqa_000004,n229548,recompute,0.0,1.0,1.0,0.6666666666666666,619.33318345109,648.8356289337389,0.0
mtgqa_000004,n229548,fullload,0.0,1.0,1.0,0.6666666666666666,794.519049464725,824.4490695069544,1333788672.0
mtgqa_000004,n229548,prefix25,0.0,1.0,1.0,0.6666666666666666,288.6274979682639,323.7545614829287,360710144.0
mtgqa_000004,n229548,prefix45,0.0,1.0,1.0,0.6666666666666666,429.7034600167535,459.133529511746,629145600.0
mtgqa_000005,n229548,recompute,0.0,1.0,1.0,0.6666666666666666,623.0329939862713,660.8955230331048,0.0
mtgqa_000005,n229548,fullload,0.0,1.0,1.0,0.6666666666666666,794.9331394629553,848.4129529679194,1333788672.0
mtgqa_000005,n229548,prefix25,0.0,0.0,1.0,0.3333333333333333,287.429656018503,326.29990752320737,360710144.0
mtgqa_000005,n229548,prefix45,0.0,1.0,1.0,0.6666666666666666,481.34675953770056,520.3652360360138,629145600.0
mtgqa_000006,n229548,recompute,1.0,1.0,1.0,1.0,598.1571934535168,636.1317269620486,0.0
mtgqa_000006,n229548,fullload,1.0,1.0,1.0,1.0,782.5658515212126,821.1723639979027,1333788672.0
mtgqa_000006,n229548,prefix25,1.0,1.0,1.0,1.0,275.28088755207136,316.8646279955283,360710144.0
mtgqa_000006,n229548,prefix45,1.0,1.0,1.0,1.0,485.2686370140873,524.1924344445579,629145600.0
mtgqa_000007,n229548,recompute,1.0,1.0,1.0,1.0,622.2561544855125,660.0549354916438,0.0
mtgqa_000007,n229548,fullload,1.0,1.0,1.0,1.0,844.6261294302531,887.0086654787883,1333788672.0
mtgqa_000007,n229548,prefix25,1.0,1.0,1.0,1.0,268.71065504383296,308.78751550335437,360710144.0
mtgqa_000007,n229548,prefix45,1.0,1.0,1.0,1.0,483.3236669655889,523.5970965004526,629145600.0
