image_id,layer,n_chunks_total,k,intersection_count,union_count,sd_only_chunk_count,prefix_only_chunk_count,jaccard,prefix_chunk_ids,static_diverse_chunk_ids
n355567,0,34,8,4,12,4,4,0.3333333333333333,"[0,1,2,3,4,5,6,7]","[0,4,6,7,8,10,11,22]"
n355567,1,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,6,10,33]"
n355567,2,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,3,5,9,15,21]"
n355567,3,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,6,10,26]"
n355567,4,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,23,30]"
n355567,5,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,6,7,13,28]"
n355567,6,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,27,30]"
n355567,7,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,29,31]"
n355567,8,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,28,31]"
n355567,9,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,28,32]"
n355567,10,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,29,32]"
n355567,11,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,3,4,5,8,28,32]"
n355567,12,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,3,4,5,8,28,31]"
n355567,13,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,4,5,8,28,32]"
n355567,14,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,2,3,6,7,10,27,32]"
n355567,15,34,8,4,12,4,4,0.3333333333333333,"[0,1,2,3,4,5,6,7]","[0,1,2,3,8,9,24,32]"
n355567,16,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,26,31]"
n355567,17,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,4,5,6,9,26,32]"
n355567,18,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,3,5,6,7,25,32]"
n355567,19,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,6,7,26,32]"
n355567,20,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,4,5,8,24,30]"
n355567,21,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,8,19,29]"
n355567,22,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,22,31]"
n355567,23,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,3,5,9,23,33]"
n355567,24,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,5,6,12,25,32]"
n355567,25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,3,4,5,7,22,31]"
n355567,26,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,6,20,32]"
n355567,27,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,29,33]"
n355567,28,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,5,6,8,27,31]"
n355567,29,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,5,6,28,32]"
n355567,30,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,6,7,8,26,32]"
n355567,31,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,25,31]"
n9181,0,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,3,4,5,6,7,8,11,19]"
n9181,1,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,6,7,22,34]"
n9181,2,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,6,11,31]"
n9181,3,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,6,25,28]"
n9181,4,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,8,34,36]"
n9181,5,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,6,28,33]"
n9181,6,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,6,33,35]"
n9181,7,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,6,7,21,35]"
n9181,8,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,5,6,7,33,36]"
n9181,9,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,8,32,35]"
n9181,10,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,7,8,28,36]"
n9181,11,37,9,5,13,4,4,0.38461538461538464,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,5,12,14,31,33]"
n9181,12,37,9,6,12,3,3,0.5,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,5,17,35,36]"
n9181,13,37,9,6,12,3,3,0.5,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,7,9,25,28]"
n9181,14,37,9,7,11,2,2,0.6363636363636364,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,6,7,23,32]"
n9181,15,37,9,6,12,3,3,0.5,"[0,1,2,3,4,5,6,7,8]","[0,1,2,3,4,6,17,19,31]"
