image_id,layer,budget,n_chunks_total,k,intersection_count,union_count,sd_only_chunk_count,prefix_only_chunk_count,jaccard,prefix_chunk_ids,static_diverse_chunk_ids
n355567,0,0.25,34,8,4,12,4,4,0.3333333333333333,"[0,1,2,3,4,5,6,7]","[0,4,6,7,8,9,11,20]"
n355567,1,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,4,6,7,12,33]"
n355567,2,0.25,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,3,7,8,18,33]"
n355567,3,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,25,28]"
n355567,4,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,27,32]"
n355567,5,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,13,27]"
n355567,6,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,3,4,5,6,30,33]"
n355567,7,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,28,31]"
n355567,8,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,31,33]"
n355567,9,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,5,6,28,32]"
n355567,10,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,6,28,33]"
n355567,11,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,2,3,4,5,6,28,31]"
n355567,12,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,2,3,4,5,7,28,32]"
n355567,13,0.25,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,2,3,6,7,11,29,32]"
n355567,14,0.25,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,4,6,11,28,32]"
n355567,15,0.25,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,8,28,32]"
n355567,16,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,7,26,29]"
n355567,17,0.25,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,2,4,5,6,12,27,32]"
n355567,18,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,6,27,32]"
n355567,19,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,27,32]"
n355567,20,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,5,6,21,30]"
n355567,21,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,4,5,7,23,30]"
n355567,22,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,21,29]"
n355567,23,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,6,7,22,33]"
n355567,24,0.25,34,8,5,11,3,3,0.45454545454545453,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,12,19,31]"
n355567,25,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,24,27]"
n355567,26,0.25,34,8,6,10,2,2,0.6,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,25,32]"
