turn_id,history_tokens_mean,method,budget_fraction,n_dialogs,end_to_end_ttft_ms_mean,end_to_end_ttft_ms_p50,end_to_end_ttft_ms_p95,ttft_delta_vs_recomp_ms,ttft_reduction_vs_recomp_pct,request_e2e_ms_mean,quality_mean,ssd_read_mb_per_request
2,34.62,ReComp,,100,525.2262303140014,531.8825025460683,570.3182321682107,0.0,0.0,558.4785395755898,0.41,0.0
2,34.62,FullLoad,,100,672.6164964563213,671.1040969821624,795.2557843178511,147.3902661423199,-28.06224396946131,709.8024575563613,0.41,1169.43486976
2,34.62,Prefix25,0.25,100,264.54222455853596,263.4887084714137,319.3681607139297,-260.6840057554655,49.63270886140207,302.72560534765944,0.4,306.83430912
2,34.62,Prefix45,0.45,100,406.13686472177505,407.696005073376,471.8261213856749,-119.08936559222639,22.673918155426087,440.7458571670577,0.44,554.8015616
3,52.1,ReComp,,100,524.7872784396168,532.1689409902319,573.6933186708484,0.0,0.0,559.4948888325598,0.4,0.0
3,52.1,FullLoad,,100,675.3331637044903,668.6761064920574,846.221823414089,150.5458852648735,-28.68703024061503,715.716966871405,0.39,1169.43486976
3,52.1,Prefix25,0.25,100,265.2373513625935,263.7337074847892,326.2054432067089,-259.5499270770233,49.45812098356491,317.49662888236344,0.38,306.83430912
3,52.1,Prefix45,0.45,100,408.79378161393106,409.16998154716566,466.77506258129137,-115.99349682568572,22.10295515748334,456.8980145920068,0.39,554.8015616
4,69.27,ReComp,,100,531.2703241303097,537.5318570295349,578.4602087107486,0.0,0.0,563.1012005149387,0.42,0.0
4,69.27,FullLoad,,100,693.5858727921732,685.7956550084054,833.2283027179074,162.31554866186343,-30.55234619542777,731.5853288851213,0.42,1169.43486976
4,69.27,Prefix25,0.25,100,275.09706019889563,277.06803497858346,319.14952425286174,-256.1732639314141,48.219004957743515,320.31014558975585,0.41,306.83430912
4,69.27,Prefix45,0.45,100,412.2263957443647,416.4074499858543,476.35376364924014,-119.04392838594504,22.407411628123608,450.1527271140367,0.39,554.8015616
5,86.87,ReComp,,100,533.8868441537488,540.6007344136015,579.1813880612608,0.0,0.0,569.0743097173981,0.41,0.0
5,86.87,FullLoad,,100,690.7688630733173,685.1050149998628,838.679926248733,156.8820189195685,-29.384881953448104,731.8127230415121,0.41,1169.43486976
5,86.87,Prefix25,0.25,100,275.3392960457131,272.0081840525381,330.1408239058219,-258.5475481080357,48.4274057207484,324.6114469214808,0.39,306.83430912
5,86.87,Prefix45,0.45,100,411.8169959296938,410.54584650555626,495.05589833133854,-122.06984822405502,22.86436715209662,456.74992114538327,0.39,554.8015616
6,103.66,ReComp,,100,539.3801154277753,544.1636085161008,582.8273084480315,0.0,0.0,574.929812445771,0.49,0.0
6,103.66,FullLoad,,100,690.9397158259526,699.8659719829448,802.5343156419694,151.55960039817728,-28.09884830069742,731.422644071281,0.49,1169.43486976
6,103.66,Prefix25,0.25,100,280.2031069411896,282.1858059614897,332.50783905969,-259.1770084865857,48.05090159488653,329.751252111746,0.47,306.83430912
6,103.66,Prefix45,0.45,100,418.4164709527977,421.2760774535127,484.8677941772621,-120.96364447497763,22.42641896041031,462.7896402357146,0.49,554.8015616
7,121.53,ReComp,,100,544.1037452197634,548.8254249794409,593.119639006909,0.0,0.0,575.7052869256586,0.42,0.0
7,121.53,FullLoad,,100,691.9293875887524,689.4596945494413,821.3662154448683,147.82564236898907,-27.168650035533638,729.2646668525413,0.42,1169.43486976
7,121.53,Prefix25,0.25,100,282.5563285429962,285.5909495265223,324.74170337081887,-261.54741667676717,48.06940201654525,335.8830893377308,0.39,306.83430912
7,121.53,Prefix45,0.45,100,421.8704606825486,421.98042647214606,493.2424660073593,-122.23328453721479,22.465069503949987,465.30774414888583,0.42,554.8015616
8,138.35,ReComp,,100,548.1381372490432,549.3540829629637,590.8578403119463,0.0,0.0,577.9511874553282,0.47,0.0
8,138.35,FullLoad,,100,692.787004535785,702.0443904912099,833.0551718885544,144.64886728674173,-26.389126655681206,729.063693836797,0.47,1169.43486976
8,138.35,Prefix25,0.25,100,286.8710105482023,285.940405970905,339.8821405833587,-261.2671267008409,47.664467940886176,332.0456665090751,0.43,306.83430912
8,138.35,Prefix45,0.45,100,426.3785038108472,428.46460751025006,513.6932673573028,-121.75963343819603,22.213311784739997,467.33912937226705,0.47,554.8015616
9,155.41,ReComp,,100,550.4912801354658,553.3336249645799,613.788529636804,0.0,0.0,581.00797285093,0.48,0.0
9,155.41,FullLoad,,100,685.7138332002796,672.3187625175342,866.1915187549312,135.22255306481384,-24.56397729525126,719.6162647230085,0.49,1169.43486976
9,155.41,Prefix25,0.25,100,288.56514206156135,286.59451100975275,336.2907702510711,-261.92613807390444,47.580433610038156,336.1205161351245,0.46,306.83430912
9,155.41,Prefix45,0.45,100,425.6328432657756,435.17109798267484,495.5840702226851,-124.8584368696902,22.681274231803428,464.26079392665997,0.51,554.8015616
10,172.6,ReComp,,100,556.3876952102873,558.0453345319256,616.8293828319293,0.0,0.0,585.8672076300718,0.45,0.0
10,172.6,FullLoad,,100,682.9318608972244,678.5093595390208,801.4094151731115,126.54416568693705,-22.74388286734299,716.605797278462,0.46,1169.43486976
10,172.6,Prefix25,0.25,100,286.64680330315605,285.9751879586838,340.90712618199177,-269.7408919071313,48.48074359465884,328.4061685320921,0.43,306.83430912
10,172.6,Prefix45,0.45,100,426.9953226391226,437.144884490408,499.14854217204265,-129.39237257116474,23.255793340695785,461.6118305758573,0.46,554.8015616
