aggregation,group,method_key,method,budget,n_sparse_rounds,n_dense_rounds,mrr,r@1,r@5,r@10,mean_rank,ndcg,logical_kv_ratio_mean,touched_chunk_fraction_mean,mrr_delta_vs_fullload,r@1_delta_vs_fullload,r@5_delta_vs_fullload,r@10_delta_vs_fullload,mean_rank_delta_vs_fullload,ndcg_delta_vs_fullload
dialog,visdial:511888,recompute,ReComp,,10,1,0.622039998795217,0.6,0.6,0.7,14.1,0.4031177386213651,,,,,,,,
dialog,visdial:511888,fullload,FullLoad,1.0,10,1,0.621933621933622,0.6,0.6,0.7,14.2,0.4031177386213651,1.0,1.0,,,,,,
dialog,visdial:511888,sparsevlm,SparseVLM 25%,0.25,10,1,0.6215919701213819,0.6,0.6,0.7,14.6,0.4031177386213651,0.24615384615384617,0.6711148648648648,,,,,,
dialog,visdial:511888,static_diverse@25,Static+Diverse 25%,0.25,10,1,0.5555699855699855,0.5,0.6,0.7,14.1,0.4031177386213651,0.24615384615384617,0.24324324324324328,,,,,,
dialog,visdial:511888,static_diverse@50,Static+Diverse 50%,0.5,10,1,0.6215919701213819,0.6,0.6,0.7,14.6,0.4031177386213651,0.4803418803418803,0.48648648648648657,,,,,,
dialog,visdial:96511,recompute,ReComp,,10,1,0.6106666666666667,0.5,0.8,0.9,4.8,0.4009670846728878,,,,,,,,
dialog,visdial:96511,fullload,FullLoad,1.0,10,1,0.6082857142857143,0.5,0.8,0.9,4.9,0.4009670846728878,1.0,1.0,,,,,,
dialog,visdial:96511,sparsevlm,SparseVLM 25%,0.25,10,1,0.6031666666666667,0.5,0.7,0.9,5.1,0.39837876876100514,0.2462686567164179,0.6840992647058823,,,,,,
dialog,visdial:96511,static_diverse@25,Static+Diverse 25%,0.25,10,1,0.6081666666666667,0.5,0.7,0.9,5.0,0.3555215920734846,0.2388059701492537,0.23529411764705882,,,,,,
dialog,visdial:96511,static_diverse@50,Static+Diverse 50%,0.5,10,1,0.608452380952381,0.5,0.8,0.9,4.8,0.3975649198506269,0.4925373134328358,0.5,,,,,,
