aggregation,group,method_key,method,budget,n_sparse_rounds,n_dense_rounds,mrr,r@1,r@5,r@10,mean_rank,ndcg,logical_kv_ratio_mean,touched_chunk_fraction_mean,mrr_delta_vs_fullload,r@1_delta_vs_fullload,r@5_delta_vs_fullload,r@10_delta_vs_fullload,mean_rank_delta_vs_fullload,ndcg_delta_vs_fullload
turn,1,recompute,ReComp,,2,0,0.52,0.5,0.5,0.5,13.0,,,,0.0,0.0,0.0,0.0,0.0,
turn,2,recompute,ReComp,,2,0,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,
turn,3,recompute,ReComp,,2,1,0.6,0.5,1.0,1.0,3.0,0.4031177386213651,,,0.0,0.0,0.0,0.0,0.0,0.0
turn,4,recompute,ReComp,,2,1,0.3214285714285714,0.0,0.5,1.0,4.5,0.4009670846728878,,,0.0,0.0,0.0,0.0,0.0,0.0
turn,5,recompute,ReComp,,2,0,0.5161290322580645,0.5,0.5,0.5,16.0,,,,0.0009775171065493637,0.0,0.0,0.0,-1.0,
turn,6,recompute,ReComp,,2,0,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,
turn,7,recompute,ReComp,,2,0,0.5833333333333334,0.5,0.5,1.0,3.5,,,,0.011904761904761973,0.0,0.0,0.0,-0.5,
turn,8,recompute,ReComp,,2,0,0.5079365079365079,0.5,0.5,0.5,32.0,,,,0.0,0.0,0.0,0.0,0.0,
turn,9,recompute,ReComp,,2,0,0.5147058823529411,0.5,0.5,0.5,17.5,,,,-0.00044563279857401383,0.0,0.0,0.0,0.5,
turn,10,recompute,ReComp,,2,0,0.6,0.5,1.0,1.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,
turn,1,fullload,FullLoad,1.0,2,0,0.52,0.5,0.5,0.5,13.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,2,fullload,FullLoad,1.0,2,0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,3,fullload,FullLoad,1.0,2,1,0.6,0.5,1.0,1.0,3.0,0.4031177386213651,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
turn,4,fullload,FullLoad,1.0,2,1,0.3214285714285714,0.0,0.5,1.0,4.5,0.4009670846728878,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
turn,5,fullload,FullLoad,1.0,2,0,0.5151515151515151,0.5,0.5,0.5,17.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,6,fullload,FullLoad,1.0,2,0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,7,fullload,FullLoad,1.0,2,0,0.5714285714285714,0.5,0.5,1.0,4.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,8,fullload,FullLoad,1.0,2,0,0.5079365079365079,0.5,0.5,0.5,32.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,9,fullload,FullLoad,1.0,2,0,0.5151515151515151,0.5,0.5,0.5,17.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
turn,10,fullload,FullLoad,1.0,2,0,0.6,0.5,1.0,1.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
