aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,history_tokens_mean,active_visual_tokens_mean,full_visual_kv_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
turn,1,FullLoad,1.0,2,0.5,681.1057814920787,681.1057814920787,689.3661781592527,19.726737984456122,19.726737984456122,19.941483391448855,700.8325194765348,700.8325194765348,708.8781707367161,1175.453696,2350.907392,0.0,0.0,675.9788749914151,1.0,19.5,2242.0,1.175453696,1.0,,,,,
turn,1,ReComp,,2,0.5,674.9950549856294,674.9950549856294,833.7157699716045,21.985585015499964,21.985585015499964,24.632126805954613,696.9806400011294,696.9806400011294,858.3478967775591,0.0,0.0,0.0,0.0,674.9947114731185,,19.5,2242.0,1.175453696,0.0,,,,,
turn,1,SparseVLM 25%,0.25,2,0.0,633.7538645020686,633.7538645020686,657.0851193391718,24.178805528208613,24.178805528208613,27.284605178283527,657.9326700302772,657.9326700302772,684.3697245174553,835.33824,1670.67648,563.5322559101041,0.0,626.5527729992755,0.24621125143513203,19.5,2242.0,1.175453696,0.7106517618198037,,,,,
turn,1,Static+Diverse 25%,0.25,2,0.0,340.7341839920264,340.7341839920264,386.97594908007886,19.95074251317419,19.95074251317419,20.185137170483358,360.68492650520056,360.68492650520056,407.1610862505622,301.13792,602.27584,15.545363654382527,52.470402006292716,48.92340101650916,0.24247990815154996,19.5,2242.0,1.175453696,0.25618867082961644,49.97338251253866,74.38113291703836,-0.5,46.235565086496734,63.95018142590958
turn,1,Static+Diverse 50%,0.5,2,0.0,520.5982849874999,520.5982849874999,525.4738648975035,19.074556505074725,19.074556505074725,19.32566954928916,539.6728414925747,539.6728414925747,544.2973083583638,597.950464,1195.900928,22.378756431862712,91.02066548075527,53.09075248078443,0.48643959688735805,19.5,2242.0,1.175453696,0.5086975914362176,23.565722222025432,49.13024085637824,-0.5,17.854814913590054,28.418162204569974
turn,10,FullLoad,1.0,2,0.5,636.6382035193965,636.6382035193965,730.782741762232,19.768955506151542,19.768955506151542,19.8570884676883,656.407159025548,656.407159025548,750.6398302299203,1175.453696,2350.907392,0.0,0.0,631.6319895267952,1.0,163.5,2242.0,1.175453696,1.0,,,,,
turn,10,ReComp,,2,0.5,547.463371505728,547.463371505728,563.4986647608457,18.654857471119612,18.654857471119612,18.79859244218096,566.1182289768476,566.1182289768476,582.2972572030267,0.0,0.0,0.0,0.0,547.463061491726,,163.5,2242.0,1.175453696,0.0,,,,,
turn,10,SparseVLM 25%,0.25,2,0.5,718.7985040072817,718.7985040072817,753.0468123994069,41.73672347678803,41.73672347678803,43.67424662632402,760.5352274840698,760.5352274840698,792.846012726659,870.465536,1740.931072,635.3275075380225,0.0,712.08814001875,0.24621125143513203,163.5,2242.0,1.175453696,0.7405357939339875,,,,,
turn,10,Static+Diverse 25%,0.25,2,0.5,334.1513714985922,334.1513714985922,349.05751576297916,19.40379900042899,19.40379900042899,19.584606264834292,353.5551704990212,353.5551704990212,368.64212202781346,301.13792,602.27584,16.18195333867334,54.21723809558898,63.68901001405902,0.24247990815154996,163.5,2242.0,1.175453696,0.25618867082961644,47.51314488333065,74.38113291703836,0.0,53.51251155425233,65.40495774435807
turn,10,Static+Diverse 50%,0.5,2,0.5,541.5359905164223,541.5359905164223,568.5809810616774,19.62903852108866,19.62903852108866,19.985289574833587,561.165029037511,561.165029037511,588.566270636511,597.950464,1195.900928,21.212077990639955,89.89239853690378,64.09321748651564,0.48643959688735805,163.5,2242.0,1.175453696,0.5086975914362176,14.9381882012798,49.13024085637824,0.0,24.660946357376346,31.30681925125638
turn,2,FullLoad,1.0,2,1.0,538.5061599663459,538.5061599663459,540.2113152551465,19.68262900481932,19.68262900481932,19.927011433173902,558.1887889711652,558.1887889711652,560.1383266883204,1175.453696,2350.907392,0.0,0.0,533.5958864889108,1.0,34.5,2242.0,1.175453696,1.0,,,,,
turn,2,ReComp,,2,1.0,545.6441059650388,545.6441059650388,552.711348774028,19.245304516516626,19.245304516516626,19.37355135451071,564.8894104815554,564.8894104815554,572.0849001285387,0.0,0.0,0.0,0.0,545.643924997421,,34.5,2242.0,1.175453696,0.0,,,,,
turn,2,SparseVLM 25%,0.25,2,1.0,712.8203925094567,712.8203925094567,723.4506304608658,38.180127972736955,38.180127972736955,42.47388936346397,751.0005204821937,751.0005204821937,757.3369970428757,844.775424,1689.550848,626.1978554830421,0.0,706.0366095101926,0.24621125143513203,34.5,2242.0,1.175453696,0.7186803077609277,,,,,
turn,2,Static+Diverse 25%,0.25,2,1.0,311.92553299479187,311.92553299479187,321.8571266392246,18.8502770033665,18.8502770033665,19.09004511544481,330.77580999815837,330.77580999815837,340.4676355305128,301.13792,602.27584,16.176702018128708,54.21110859606415,45.42873351601884,0.24247990815154996,34.5,2242.0,1.175453696,0.25618867082961644,42.07577253818494,74.38113291703836,0.0,56.2406552516448,64.3529023874634
turn,2,Static+Diverse 50%,0.5,2,1.0,500.1413320132997,500.1413320132997,532.6655931974528,19.26198849105276,19.26198849105276,19.359584935591556,519.4033205043525,519.4033205043525,552.0251781330444,597.950464,1195.900928,20.47968457918614,87.6951745012775,48.336135485442355,0.48643959688735805,34.5,2242.0,1.175453696,0.5086975914362176,7.124306239216249,49.13024085637824,0.0,29.836276112616332,29.217819669905552
turn,3,FullLoad,1.0,2,0.5,595.2732444857247,595.2732444857247,611.1347648315132,21.903490531258285,21.903490531258285,23.6145349976141,617.176735016983,617.176735016983,634.7492998291273,1175.453696,2350.907392,0.0,0.0,590.2792334672995,1.0,50.0,2242.0,1.175453696,1.0,,,,,
turn,3,ReComp,,2,0.5,529.409395006951,529.409395006951,548.9781129930634,19.40060348715633,19.40060348715633,19.540358625818044,548.8099984941073,548.8099984941073,568.238961341558,0.0,0.0,0.0,0.0,529.4091510004364,,50.0,2242.0,1.175453696,0.0,,,,,
turn,3,SparseVLM 25%,0.25,2,0.5,707.846516976133,707.846516976133,727.4183840956539,24.891335022402927,24.891335022402927,25.544742224155925,732.7378519985359,732.7378519985359,751.6563119163038,849.494016,1698.988032,623.9626760070678,0.0,701.0390684881713,0.24621125143513203,50.0,2242.0,1.175453696,0.7226945807314897,,,,,
turn,3,Static+Diverse 25%,0.25,2,0.5,323.3791280363221,323.3791280363221,343.47881363064516,19.37141947564669,19.37141947564669,19.378082643379457,342.75054751196876,342.75054751196876,362.8435699385591,301.13792,602.27584,17.201628506882116,55.88281253585592,47.87602351279929,0.24247990815154996,50.0,2242.0,1.175453696,0.25618867082961644,45.67551439075689,74.38113291703836,0.0,54.31507815878316,64.55090744276649
turn,3,Static+Diverse 50%,0.5,2,0.5,544.0361565269995,544.0361565269995,559.3086880544433,19.356564473127946,19.356564473127946,19.615323908510618,563.3927210001275,563.3927210001275,578.4064930921886,597.950464,1195.900928,24.16820512735285,95.11654247762635,49.56944900914095,0.48643959688735805,50.0,2242.0,1.175453696,0.5086975914362176,8.607322508336567,49.13024085637824,0.0,23.142073390276607,29.610985747073226
turn,4,FullLoad,1.0,2,0.0,648.5511015343945,648.5511015343945,679.476636488107,34.27327549434267,34.27327549434267,43.07617146114353,682.8243770287372,682.8243770287372,722.5528079492506,1175.453696,2350.907392,0.0,0.0,643.6329280259088,1.0,66.0,2242.0,1.175453696,1.0,,,,,
turn,4,ReComp,,2,0.0,516.7618969862815,516.7618969862815,524.0008282562485,18.963739508762956,18.963739508762956,18.993476824834943,535.7256364950445,535.7256364950445,542.9348304489395,0.0,0.0,0.0,0.0,516.7615234968252,,66.0,2242.0,1.175453696,0.0,,,,,
turn,4,SparseVLM 25%,0.25,2,0.0,674.8733425047249,674.8733425047249,677.2964390227571,38.44951948849484,38.44951948849484,42.751285911072046,713.3228619932197,713.3228619932197,715.2015318977647,851.06688,1702.13376,596.5408310003113,0.0,668.3265205065254,0.24621125143513203,66.0,2242.0,1.175453696,0.7240326717216771,,,,,
turn,4,Static+Diverse 25%,0.25,2,0.0,306.6369180160109,306.6369180160109,315.47168700781185,19.144219491863623,19.144219491863623,19.40028886019718,325.7811375078745,325.7811375078745,334.3598371313419,301.13792,602.27584,14.281860465416685,49.51561809866689,51.99735300266184,0.24247990815154996,66.0,2242.0,1.175453696,0.25618867082961644,52.71969821799014,74.38113291703836,0.0,54.56378275693056,64.61642121474637
turn,4,Static+Diverse 50%,0.5,2,0.0,511.9793505000416,511.9793505000416,554.205081120017,19.603049498982728,19.603049498982728,19.647004146827385,531.5823999990243,531.5823999990243,573.764175971155,597.950464,1195.900928,20.468970586080104,88.24353106319904,51.37866799486801,0.48643959688735805,66.0,2242.0,1.175453696,0.5086975914362176,21.05797842471325,49.13024085637824,0.0,24.136972339153072,29.741072287996918
turn,5,FullLoad,1.0,2,0.5,654.143693507649,654.143693507649,684.1886747744866,19.62953800102696,19.62953800102696,19.643628399353474,673.773231508676,673.773231508676,703.83230317384,1175.453696,2350.907392,0.0,0.0,649.2013040115125,1.0,80.0,2242.0,1.175453696,1.0,,,,,
turn,5,ReComp,,2,0.5,537.5764099881053,537.5764099881053,557.3290447937325,19.043070526095107,19.043070526095107,19.119353152927943,556.6194805142004,556.6194805142004,576.4483979466604,0.0,0.0,0.0,0.0,537.576122500468,,80.0,2242.0,1.175453696,0.0,,,,,
turn,5,SparseVLM 25%,0.25,2,0.5,728.9281844859943,728.9281844859943,756.0463783564046,38.941463019000366,38.941463019000366,51.76093880145345,767.8696475049946,767.8696475049946,807.807317157858,866.009088,1732.018176,643.2792854029685,0.0,722.2851329715922,0.24621125143513203,80.0,2242.0,1.175453696,0.7367445361284567,,,,,
turn,5,Static+Diverse 25%,0.25,2,0.5,320.1439910044428,320.1439910044428,346.26929178775754,19.38456649077125,19.38456649077125,19.525489830994047,339.52855749521405,339.52855749521405,365.7947816187516,301.13792,602.27584,16.61287504248321,54.74981552106328,45.935922011267394,0.24247990815154996,80.0,2242.0,1.175453696,0.25618867082961644,51.059072466514685,74.38113291703836,0.0,56.08017390215289,65.226933045765
turn,5,Static+Diverse 50%,0.5,2,0.5,547.4573860119563,547.4573860119563,563.1466738326708,19.39476901316084,19.39476901316084,20.0274186412571,566.8521550251171,566.8521550251171,581.9087932177354,597.950464,1195.900928,24.502350017428398,94.38290106481872,49.26622551283799,0.48643959688735805,80.0,2242.0,1.175453696,0.5086975914362176,16.309307657407736,49.13024085637824,0.0,24.895566166371065,30.953326900883514
turn,6,FullLoad,1.0,2,1.0,685.6021839776076,685.6021839776076,694.1373924724758,19.95037801680155,19.95037801680155,20.120143223903142,705.5525619944092,705.5525619944092,714.2575356963789,1175.453696,2350.907392,0.0,0.0,680.4931215010583,1.0,94.5,2242.0,1.175453696,1.0,,,,,
turn,6,ReComp,,2,1.0,523.1495645130053,523.1495645130053,561.195137159666,19.389920955291018,19.389920955291018,19.421655862242915,542.5394854682963,542.5394854682963,580.5533232080052,0.0,0.0,0.0,0.0,523.1492665188853,,94.5,2242.0,1.175453696,0.0,,,,,
