aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
turn,1,FullLoad,1.0,2,0.5,677.374503982719,677.374503982719,720.2745474758558,21.82980050565675,21.82980050565675,23.539773031370714,699.2043044883758,699.2043044883758,740.3943754557986,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,19.5,2242.0,2293.5,1.175453696,1.175453696,5.235203584,6.541500928,2.167189504,1.0,,,,,
turn,1,ReComp,,2,0.5,663.4238539845683,663.4238539845683,811.302555189468,22.030593012459576,22.030593012459576,24.023248784942552,685.4544469970278,685.4544469970278,835.3258039744105,0.0,0.0,0.0,0.0,663.4236849786248,,,,19.5,2242.0,2293.5,1.175453696,0.0,4.056649216,7.057944064,1.917499392,0.0,,,,,
turn,1,SparseVLM 25%,0.25,2,0.0,726.9731144770049,726.9731144770049,752.3161357210483,34.00049603078514,34.00049603078514,44.30390393245034,760.97361050779,760.97361050779,776.0132238501683,835.33824,1670.67648,,,,0.24621125143513203,0.24621125143513203,0.6642428881234852,19.5,2242.0,2293.5,1.175453696,0.780238848,5.234724352,6.540921088,2.127812608,0.7106517618198037,,,,,
turn,1,Static+Diverse 25%,0.25,2,0.0,295.26548049761914,295.26548049761914,315.96974155690987,20.105498493649065,20.105498493649065,20.22681265952997,315.3709789912682,315.3709789912682,335.95392588467803,301.13792,602.27584,14.423226413782686,50.36920864949934,38.41009602183476,0.24247990815154996,0.24247990815154996,0.2560466896287792,19.5,2242.0,2293.5,1.175453696,0.30113792,5.235203584,6.541656576,2.129188864,0.25618867082961644,56.41030496991486,74.38113291703836,-0.5,59.384264064560696,63.95018142590958
turn,1,Static+Diverse 50%,0.5,2,0.0,520.2616445021704,520.2616445021704,562.3201866692398,19.969497487181798,19.969497487181798,19.98033211857546,540.2311419893522,540.2311419893522,582.3005187878152,597.950464,1195.900928,20.94362146453932,88.22317732847296,46.63643951062113,0.48643959688735805,0.48643959688735805,0.5090170142875367,19.5,2242.0,2293.5,1.175453696,0.597950464,5.234724352,6.540502784,2.129188864,0.5086975914362176,23.194386348582864,49.13024085637824,-0.5,28.43454123108057,28.418162204569974
turn,2,FullLoad,1.0,2,1.0,584.2674494779203,584.2674494779203,601.8748753325781,27.34770849929191,27.34770849929191,29.76125784625765,611.6151579772122,611.6151579772122,631.6361331788357,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,34.5,2242.0,2311.0,1.175453696,1.175453696,5.235203584,6.553630208,2.129188864,1.0,,,,,
turn,2,ReComp,,2,1.0,525.0441620009951,525.0441620009951,547.4538685986772,19.551270466763526,19.551270466763526,19.557762617478147,544.5954324677587,544.5954324677587,567.0116312161554,0.0,0.0,0.0,0.0,525.043966510566,,,,34.5,2242.0,2311.0,1.175453696,0.0,5.234724352,8.27170816,2.129188864,0.0,,,,,
turn,2,SparseVLM 25%,0.25,2,1.0,726.6091350174975,726.6091350174975,729.2719866294647,28.292369010159746,28.292369010159746,31.912568598636426,754.9015040276572,754.9015040276572,761.1845552281011,844.775424,1689.550848,,,,0.24621125143513203,0.24621125143513203,0.6725212080622529,34.5,2242.0,2311.0,1.175453696,0.789676032,5.234724352,6.553257984,2.129188864,0.7186803077609277,,,,,
turn,2,Static+Diverse 25%,0.25,2,1.0,322.6933910045773,322.6933910045773,349.87444307189435,19.521817506756634,19.521817506756634,20.164274878334254,342.2152085113339,342.2152085113339,370.0387179502286,301.13792,602.27584,15.819649066543207,53.94706514198333,52.63665149686858,0.24247990815154996,0.24247990815154996,0.2560466896287792,34.5,2242.0,2311.0,1.175453696,0.30113792,5.235203584,6.553791488,2.129188864,0.25618867082961644,44.7695757665562,74.38113291703836,0.0,55.58913651741986,64.3529023874634
turn,2,Static+Diverse 50%,0.5,2,1.0,528.5812799993437,528.5812799993437,572.9871693038149,19.734434521524236,19.734434521524236,20.01158814819064,548.3157145208679,548.3157145208679,592.9987574520055,597.950464,1195.900928,21.799333480885252,90.92850689194165,52.902084978995845,0.48643959688735805,0.48643959688735805,0.5090170142875367,34.5,2242.0,2311.0,1.175453696,0.597950464,5.234724352,6.553213952,2.129188864,0.5086975914362176,9.530938190778171,49.13024085637824,0.0,27.253697410972556,29.217819669905552
turn,3,FullLoad,1.0,2,0.5,610.3519335156307,610.3519335156307,683.1816583871841,20.35402800538577,20.35402800538577,20.51359170291107,630.7059615210164,630.7059615210164,703.3761226950446,1175.453696,2350.907392,0.0,,,1.0,1.0,1.0,50.0,2242.0,2325.0,1.175453696,1.175453696,5.235203584,6.56484352,2.129975296,1.0,,,,,
turn,3,ReComp,,2,0.5,530.3600405168254,530.3600405168254,548.6930247599958,20.08172497153282,20.08172497153282,20.59080007020384,550.4417654883582,550.4417654883582,569.2838248301996,0.0,0.0,0.0,0.0,530.3599015169311,,,,50.0,2242.0,2325.0,1.175453696,0.0,5.234724352,8.301122048,2.129975296,0.0,,,,,
