metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:100528,Prefix25,0.25,hidden,2,False,True,True,739.6601319778711,954.7672640765086,-215.10713209863752,2781.443852931261,4882.826545275748,-2101.3826923444867
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:100528,Prefix25,0.25,worst,6,False,True,False,1790.8886229852214,954.7672640765086,836.1213589087129,3832.6723439386114,4882.826545275748,-1050.1542013371363
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:100528,Prefix45,0.45,hidden,2,False,True,True,837.1796039864421,954.7672640765086,-117.58766009006649,3744.2748098401353,4882.826545275748,-1138.5517354356125
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:100528,Prefix45,0.45,worst,10,False,True,False,1888.4080949937925,954.7672640765086,933.6408309172839,4795.503300847486,4882.826545275748,-87.32324442826211
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:112033,Prefix25,0.25,hidden,2,False,True,True,819.3401229800656,1107.0638911332935,-287.72376815322787,3295.4146231058985,5633.292419021018,-2337.8777959151193
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:112033,Prefix25,0.25,worst,5,False,True,False,1702.8357631061226,1107.0638911332935,595.7718719728291,4178.9102632319555,5633.292419021018,-1454.3821557890624
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:112033,Prefix45,0.45,hidden,2,False,True,True,1013.5803170269355,1107.0638911332935,-93.48357410635799,4707.176673109643,5633.292419021018,-926.1157459113747
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:112033,Prefix45,0.45,worst,10,False,True,False,1897.0759571529925,1107.0638911332935,790.012066019699,5590.6723132357,5633.292419021018,-42.62010578531772
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:126379,Prefix25,0.25,hidden,2,False,True,True,828.854791005142,1096.2426230544224,-267.3878320492804,3303.1745178159326,5599.143873085268,-2295.969355269335
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:126379,Prefix25,0.25,worst,6,False,True,False,1965.9273411380127,1096.2426230544224,869.6847180835903,4440.247067948803,5599.143873085268,-1158.8968051364645
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:126379,Prefix45,0.45,hidden,2,False,True,True,1050.0570581061766,1096.2426230544224,-46.18556494824588,4821.603743941523,5599.143873085268,-777.5401291437447
