method,budget,scenario,break_even_turn_or_censored,n_dialogs,fraction
Prefix25,0.25,hidden,2,100,1.0
Prefix25,0.25,hidden,3,0,0.0
Prefix25,0.25,hidden,4,0,0.0
Prefix25,0.25,hidden,5,0,0.0
Prefix25,0.25,hidden,6,0,0.0
Prefix25,0.25,hidden,7,0,0.0
Prefix25,0.25,hidden,8,0,0.0
Prefix25,0.25,hidden,9,0,0.0
Prefix25,0.25,hidden,10,0,0.0
Prefix25,0.25,hidden,censored>10,0,0.0
Prefix25,0.25,worst,2,0,0.0
Prefix25,0.25,worst,3,0,0.0
Prefix25,0.25,worst,4,5,0.05
Prefix25,0.25,worst,5,62,0.62
Prefix25,0.25,worst,6,22,0.22
Prefix25,0.25,worst,7,9,0.09
Prefix25,0.25,worst,8,1,0.01
Prefix25,0.25,worst,9,0,0.0
Prefix25,0.25,worst,10,0,0.0
Prefix25,0.25,worst,censored>10,1,0.01
Prefix45,0.45,hidden,2,99,0.99
Prefix45,0.45,hidden,3,1,0.01
Prefix45,0.45,hidden,4,0,0.0
Prefix45,0.45,hidden,5,0,0.0
Prefix45,0.45,hidden,6,0,0.0
Prefix45,0.45,hidden,7,0,0.0
Prefix45,0.45,hidden,8,0,0.0
Prefix45,0.45,hidden,9,0,0.0
Prefix45,0.45,hidden,10,0,0.0
Prefix45,0.45,hidden,censored>10,0,0.0
Prefix45,0.45,worst,2,0,0.0
Prefix45,0.45,worst,3,0,0.0
Prefix45,0.45,worst,4,0,0.0
Prefix45,0.45,worst,5,0,0.0
Prefix45,0.45,worst,6,0,0.0
Prefix45,0.45,worst,7,7,0.07
Prefix45,0.45,worst,8,21,0.21
Prefix45,0.45,worst,9,29,0.29
Prefix45,0.45,worst,10,14,0.14
Prefix45,0.45,worst,censored>10,29,0.29
