metric,turns_n,method,budget,scenario,n_dialogs,persistence_charged,cumulative_ms_mean,cumulative_ms_p50,cumulative_ms_p95,delta_vs_recomp_ms_mean,delta_vs_recomp_ms_p50,delta_vs_recomp_ms_p95,reduction_vs_recomp_pct_of_means,strictly_better_dialog_fraction,is_direct_two_turn_case
sum_of_per_request_e2e_ms_with_persistence_scenario,1,ReComp,,recompute_no_persistence,100,False,549.0454097744077,546.9173025339842,620.4589580593163,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix25,0.25,hidden,100,False,549.1092623875011,547.5204139947891,618.1079989357384,0.06385261309333146,-0.013769022189080715,4.354746977332976,-0.011629750828734409,0.51,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix25,0.25,worst,100,False,549.1092623875011,547.5204139947891,618.1079989357384,0.06385261309333146,-0.013769022189080715,4.354746977332976,-0.011629750828734409,0.51,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix45,0.45,hidden,100,False,549.7933848015964,547.7405624696985,619.4137005426453,0.7479750271886587,0.14068291056901217,5.645142513094469,-0.136231906117934,0.46,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix45,0.45,worst,100,False,549.7933848015964,547.7405624696985,619.4137005426453,0.7479750271886587,0.14068291056901217,5.645142513094469,-0.136231906117934,0.46,False
sum_of_per_request_e2e_ms_with_persistence_scenario,2,ReComp,,recompute_no_persistence,100,False,1107.5239493499976,1122.3804880282842,1273.471193347359,0.0,0.0,0.0,0.0,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix25,0.25,hidden,100,False,851.8348677351605,840.8918114728294,1063.036561012268,-255.68908161483705,-260.61043998925015,-126.31639725877908,23.086551019045697,1.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix25,0.25,worst,100,True,1831.5798973513301,1811.653135519009,2156.102130981162,724.0559480013326,698.6866323859431,977.8690402279608,-65.3760984966762,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix45,0.45,hidden,100,False,990.5392419686541,990.1031969930045,1149.6400341158733,-116.98470738134347,-115.8755625365302,-44.64369383640591,10.562724846717897,0.99,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix45,0.45,worst,100,True,1970.2842715848237,1963.408122828696,2279.6568156336434,862.7603222348262,840.0665940134786,1106.0398173111025,-77.899924669004,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,3,ReComp,,recompute_no_persistence,100,False,1667.0188381825574,1704.5103295240551,1870.3703947656322,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix25,0.25,hidden,100,False,1169.331496617524,1151.3909304048866,1436.0050184535794,-497.6873415650334,-510.8504770323634,-244.60688215331174,29.8549320598938,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix25,0.25,worst,100,True,2149.0765262336936,2112.81360295834,2518.3808367990423,482.0576880511362,438.6683627963066,764.0664447564632,-28.917350962673737,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix45,0.45,hidden,100,False,1447.437256560661,1445.4049599007703,1694.8278716590721,-219.58158162189648,-233.27343503478914,-20.97255022381434,13.172111591809731,0.96,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix45,0.45,worst,100,True,2427.1822861768305,2405.262836429756,2819.4788729946595,760.1634479942732,737.2307498008013,1021.4597732876427,-45.60017143075781,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,ReComp,,recompute_no_persistence,100,False,2230.120038697496,2280.205716029741,2488.4215653524734,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix25,0.25,hidden,100,False,1489.6416422072798,1470.6400544382632,1834.312982345,-740.4783964902163,-766.1355711752549,-377.0499652426225,33.20352194685867,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix25,0.25,worst,100,True,2469.3866718234494,2444.434928765986,2887.7713045978453,239.26663312595338,205.05312597379088,542.8442479402293,-10.728867907294237,0.04,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix45,0.45,hidden,100,False,1897.5899836746976,1886.4906505332328,2157.073308288818,-332.5300550227985,-345.89049156056717,-35.27699118130841,14.910859023400958,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix45,0.45,worst,100,True,2877.335013290867,2854.4067784096114,3320.2889699372463,647.2149745933712,633.0922009074129,918.5068861406762,-29.021530830751942,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,ReComp,,recompute_no_persistence,100,False,2799.194348414894,2864.41606056178,3150.6732868554536,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix25,0.25,hidden,100,False,1814.2530891287606,1796.4247414493002,2156.5679183229804,-984.9412592861336,-1013.9830354601145,-509.86250252462924,35.18659788106097,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix25,0.25,worst,100,True,2793.9981187449303,2764.6981110447086,3290.846481936751,-5.196229669963941,-38.27095008455217,336.41095896018663,0.18563304376869594,0.57,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix45,0.45,hidden,100,False,2354.339904820081,2358.990019536577,2785.192553093657,-444.85444359481335,-467.2242908272892,-125.86460618185829,15.892231414611214,0.99,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix45,0.45,worst,100,True,3334.0849344362505,3314.189131895546,3880.3752081934363,534.8905860213563,516.8969643418677,810.5589756218251,-19.10873342268107,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,ReComp,,recompute_no_persistence,100,False,3374.124160860665,3455.9081409242935,3774.825232854346,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,Prefix25,0.25,hidden,100,False,2144.0043412405066,2114.187178609427,2535.90508463094,-1230.1198196201585,-1263.2365034660324,-678.0312017479448,36.4574556529177,1.0,False
