turn_id,method,budget,end_to_end_ttft_ms_mean,end_to_end_ttft_ms_p50,end_to_end_ttft_ms_p95,delta_vs_recomp_ms
1,ReComp,,519.418718641391,525.395508040674,567.8679097385611,0.0
1,Prefix25,0.25,519.5386953442357,527.148503519129,565.7205092953518,0.11997670284472406
1,Prefix45,0.45,520.153393347282,527.6246374705806,563.496711285552,0.7346747058909386
2,ReComp,,525.2262303140014,531.8825025460683,570.3182321682107,0.0
2,Prefix25,0.25,264.54222455853596,263.4887084714137,319.3681607139297,-260.6840057554655
2,Prefix45,0.45,406.13686472177505,407.696005073376,471.8261213856749,-119.08936559222639
3,ReComp,,524.7872784396168,532.1689409902319,573.6933186708484,0.0
3,Prefix25,0.25,265.2373513625935,263.7337074847892,326.2054432067089,-259.5499270770233
3,Prefix45,0.45,408.79378161393106,409.16998154716566,466.7750625812914,-115.99349682568572
4,ReComp,,531.2703241303097,537.5318570295349,578.4602087107487,0.0
4,Prefix25,0.25,275.09706019889563,277.06803497858346,319.14952425286174,-256.1732639314141
4,Prefix45,0.45,412.2263957443647,416.4074499858543,476.35376364924014,-119.04392838594504
5,ReComp,,533.8868441537488,540.6007344136015,579.1813880612608,0.0
5,Prefix25,0.25,275.3392960457131,272.0081840525381,330.1408239058219,-258.5475481080357
5,Prefix45,0.45,411.8169959296938,410.54584650555626,495.05589833133854,-122.06984822405502
6,ReComp,,539.3801154277753,544.1636085161008,582.8273084480315,0.0
6,Prefix25,0.25,280.2031069411896,282.1858059614897,332.50783905969,-259.1770084865857
6,Prefix45,0.45,418.4164709527977,421.2760774535127,484.8677941772621,-120.96364447497763
7,ReComp,,544.1037452197634,548.8254249794409,593.119639006909,0.0
7,Prefix25,0.25,282.5563285429962,285.5909495265223,324.74170337081887,-261.54741667676717
7,Prefix45,0.45,421.8704606825486,421.98042647214606,493.2424660073593,-122.23328453721479
8,ReComp,,548.1381372490432,549.3540829629637,590.8578403119463,0.0
8,Prefix25,0.25,286.8710105482023,285.940405970905,339.8821405833587,-261.2671267008409
8,Prefix45,0.45,426.3785038108472,428.46460751025006,513.6932673573028,-121.75963343819603
9,ReComp,,550.4912801354658,553.3336249645799,613.788529636804,0.0
9,Prefix25,0.25,288.56514206156135,286.59451100975275,336.2907702510711,-261.92613807390444
9,Prefix45,0.45,425.6328432657756,435.17109798267484,495.5840702226851,-124.8584368696902
10,ReComp,,556.3876952102873,558.0453345319256,616.8293828319293,0.0
10,Prefix25,0.25,286.64680330315605,285.9751879586838,340.90712618199177,-269.7408919071313
10,Prefix45,0.45,426.9953226391226,437.144884490408,499.14854217204265,-129.39237257116474
