turn_id,method,budget,n_dialogs,quality_metric,quality_mean,quality_p50,quality_p95,quality_delta_vs_recomp
1,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.57,1.0,1.0,0.0
1,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.57,1.0,1.0,0.0
1,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.57,1.0,1.0,0.0
1,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.57,1.0,1.0,0.0
2,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.41,0.0,1.0,0.0
2,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.41,0.0,1.0,0.0
2,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.4,0.0,1.0,-0.009999999999999953
2,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.44,0.0,1.0,0.030000000000000027
3,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.4,0.0,1.0,0.0
3,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.39,0.0,1.0,-0.010000000000000009
3,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.38,0.0,1.0,-0.020000000000000018
3,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.39,0.0,1.0,-0.010000000000000009
4,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.42,0.0,1.0,0.0
4,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.42,0.0,1.0,0.0
4,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.41,0.0,1.0,-0.010000000000000009
4,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.39,0.0,1.0,-0.02999999999999997
5,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.41,0.0,1.0,0.0
5,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.41,0.0,1.0,0.0
5,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.39,0.0,1.0,-0.019999999999999962
5,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.39,0.0,1.0,-0.019999999999999962
6,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.49,0.0,1.0,0.0
6,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.49,0.0,1.0,0.0
6,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.47,0.0,1.0,-0.020000000000000018
6,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.49,0.0,1.0,0.0
7,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.42,0.0,1.0,0.0
7,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.42,0.0,1.0,0.0
7,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.39,0.0,1.0,-0.02999999999999997
7,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.42,0.0,1.0,0.0
8,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.47,0.0,1.0,0.0
8,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.47,0.0,1.0,0.0
8,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.43,0.0,1.0,-0.03999999999999998
8,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.47,0.0,1.0,0.0
9,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.48,0.0,1.0,0.0
9,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.49,0.0,1.0,0.010000000000000009
9,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.46,0.0,1.0,-0.019999999999999962
9,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.51,1.0,1.0,0.030000000000000027
10,ReComp,,100,generative_auxiliary_normalized_match_not_official_visdial,0.45,0.0,1.0,0.0
10,FullLoad,,100,generative_auxiliary_normalized_match_not_official_visdial,0.46,0.0,1.0,0.010000000000000009
10,Prefix25,0.25,100,generative_auxiliary_normalized_match_not_official_visdial,0.43,0.0,1.0,-0.020000000000000018
10,Prefix45,0.45,100,generative_auxiliary_normalized_match_not_official_visdial,0.46,0.0,1.0,0.010000000000000009
