
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset gqa_large --metric gqa --index /home/dblab/hj/mllm_v2/data/gqa_large/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/gqa_large --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 3 --shard-index 0 --shard-size 1000 --expected-index-sha256 0d50962f0c1bac3bc6e1836978289d5fde7d60b434f55cebbc4607c4c80a797c --expected-workload-sha256 cabec1bb1035c836839b98d72ba6a04558529d246cf55f8499ca75ea2d2f290c --expected-images 395 --expected-questions 1185 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.29s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.24s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.04s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.10s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/395] n282436: 12 rows published; store 1.33 GB
[2/395] n350766: 12 rows published; store 1.21 GB
[3/395] n6908: 12 rows published; store 1.23 GB
[4/395] n363445: 12 rows published; store 1.33 GB
[5/395] n571179: 12 rows published; store 1.38 GB
[6/395] n344136: 12 rows published; store 1.21 GB
[7/395] n518912: 12 rows published; store 1.33 GB
[8/395] n410289: 12 rows published; store 1.34 GB
[9/395] n336443: 12 rows published; store 1.21 GB
[10/395] n501951: 12 rows published; store 1.05 GB
[11/395] n486200: 12 rows published; store 1.21 GB
[12/395] n508641: 12 rows published; store 1.33 GB
[13/395] n250821: 12 rows published; store 1.34 GB
[14/395] n335542: 12 rows published; store 1.38 GB
[15/395] n367944: 12 rows published; store 1.33 GB
[16/395] n574498: 12 rows published; store 1.28 GB
[17/395] n126891: 12 rows published; store 0.96 GB
[18/395] n296467: 12 rows published; store 1.33 GB
[19/395] n100991: 12 rows published; store 1.33 GB
[20/395] n65230: 12 rows published; store 1.34 GB
[21/395] n570181: 12 rows published; store 1.21 GB
[22/395] n39114: 12 rows published; store 1.23 GB
[23/395] n49438: 12 rows published; store 1.66 GB
[24/395] n124651: 12 rows published; store 1.21 GB
[25/395] n274905: 12 rows published; store 1.21 GB
[26/395] n489190: 12 rows published; store 1.21 GB
[27/395] n71728: 12 rows published; store 1.21 GB
[28/395] n567860: 12 rows published; store 1.33 GB
[29/395] n520071: 12 rows published; store 1.33 GB
[30/395] n148872: 12 rows published; store 1.34 GB
[31/395] n206785: 12 rows published; store 1.21 GB
[32/395] n566028: 12 rows published; store 1.10 GB
[33/395] n494677: 12 rows published; store 1.10 GB
[34/395] n62458: 12 rows published; store 1.21 GB
[35/395] n314171: 12 rows published; store 1.23 GB
[36/395] n513429: 12 rows published; store 1.33 GB
[37/395] n497658: 12 rows published; store 1.21 GB
[38/395] n25275: 12 rows published; store 1.21 GB
[39/395] n260521: 12 rows published; store 1.21 GB
[40/395] n471866: 12 rows published; store 1.21 GB
[41/395] n526228: 12 rows published; store 1.10 GB
[42/395] n483840: 12 rows published; store 1.33 GB
[43/395] n24526: 12 rows published; store 1.21 GB
[44/395] n305495: 12 rows published; store 1.23 GB
[45/395] n429883: 12 rows published; store 1.33 GB
[46/395] n494918: 12 rows published; store 1.34 GB
[47/395] n432591: 12 rows published; store 1.33 GB
[48/395] n164272: 12 rows published; store 1.33 GB
[49/395] n216553: 12 rows published; store 1.21 GB
[50/395] n194179: 12 rows published; store 1.12 GB
[51/395] n466319: 12 rows published; store 1.33 GB
[52/395] n382416: 12 rows published; store 1.34 GB
[53/395] n172618: 12 rows published; store 1.33 GB
[54/395] n355567: 12 rows published; store 1.21 GB
[55/395] n208458: 12 rows published; store 0.83 GB
[56/395] n290409: 12 rows published; store 1.33 GB
[57/395] n538684: 12 rows published; store 1.21 GB
[58/395] n357784: 12 rows published; store 1.33 GB
[59/395] n79078: 12 rows published; store 1.34 GB
[60/395] n501609: 12 rows published; store 1.21 GB
[61/395] n536256: 12 rows published; store 1.33 GB
[62/395] n437192: 12 rows published; store 1.23 GB
[63/395] n507149: 12 rows published; store 1.21 GB
[64/395] n500209: 12 rows published; store 1.23 GB
[65/395] n497789: 12 rows published; store 1.33 GB
[66/395] n525901: 12 rows published; store 1.33 GB
[67/395] n560243: 12 rows published; store 1.33 GB
[68/395] n234722: 12 rows published; store 1.33 GB
[69/395] n546884: 12 rows published; store 1.33 GB
[70/395] n23181: 12 rows published; store 0.82 GB
