
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset textvqa --metric vqa --index /home/dblab/hj/mllm_v2/data/textvqa/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/textvqa --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 1 --shard-index 0 --shard-size 1000 --expected-index-sha256 b1e5ff0eaba2a45c6398e7cb90631cdc7387eff25ed0997a66374f25968a2f4d --expected-workload-sha256 49fa0b15f406132162cba1b47245f28a560d28b4f3af76985c855d77a145a2a6 --expected-images 500 --expected-questions 500 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.38s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.29s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.05s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.13s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/500] a023b7e346df33c8: 4 rows published; store 1.33 GB
[2/500] 151baa8554a73267: 4 rows published; store 1.23 GB
[3/500] 0affdf85ae6f4fa6: 4 rows published; store 1.33 GB
[4/500] 73552f3b927ebc7b: 4 rows published; store 1.13 GB
[5/500] 028ee005563ec20d: 4 rows published; store 1.66 GB
[6/500] 6ed698f3ec40a47c: 4 rows published; store 1.07 GB
[7/500] 0ee10ec0ad8d63c2: 4 rows published; store 1.07 GB
[8/500] 0b8c0c8f53304636: 4 rows published; store 1.33 GB
[9/500] 0787f5c493031226: 4 rows published; store 1.55 GB
[10/500] 8c7f0f3cb77d9a96: 4 rows published; store 1.21 GB
[11/500] 51b82971971532c7: 4 rows published; store 1.34 GB
[12/500] 3f5f85322db0fbdd: 4 rows published; store 1.21 GB
[13/500] c3950a3e71c73d05: 4 rows published; store 1.33 GB
[14/500] 1c43f6087c64dd3a: 4 rows published; store 1.33 GB
[15/500] 007f097678571e5d: 4 rows published; store 1.33 GB
[16/500] 652d92e78bd3402c: 4 rows published; store 1.21 GB
[17/500] bf06f8dda2f6f1d6: 4 rows published; store 1.33 GB
[18/500] f0f987412b7e4d98: 4 rows published; store 1.33 GB
[19/500] c57fb9dba3163429: 4 rows published; store 1.21 GB
[20/500] 81ac0221208f4892: 4 rows published; store 1.21 GB
[21/500] 4dad8986ad5a3327: 4 rows published; store 1.33 GB
[22/500] a83cf4c5ba6fb445: 4 rows published; store 1.33 GB
[23/500] 1a3f633876701162: 4 rows published; store 1.33 GB
[24/500] 16800cb9cdbd89ed: 4 rows published; store 1.21 GB
[25/500] 40305babc0cffc30: 4 rows published; store 1.23 GB
[26/500] 5da3c30357b7fd2b: 4 rows published; store 1.55 GB
[27/500] 6902d82c5cd39616: 4 rows published; store 1.21 GB
[28/500] 16d43c53d4725200: 4 rows published; store 1.66 GB
[29/500] 08a78728f5856899: 4 rows published; store 1.34 GB
[30/500] d193db4220154879: 4 rows published; store 1.21 GB
[31/500] 2663afe4fe59d645: 4 rows published; store 1.33 GB
[32/500] fe2f51ed151aab30: 4 rows published; store 1.12 GB
[33/500] d87f51217798fc41: 4 rows published; store 1.33 GB
[34/500] 590234908349d651: 4 rows published; store 0.99 GB
[35/500] bcae4b24082da442: 4 rows published; store 1.23 GB
[36/500] dd7d764e8d5251e5: 4 rows published; store 1.33 GB
[37/500] d3a3150761068f75: 4 rows published; store 1.10 GB
[38/500] 5e46742c4dd18e37: 4 rows published; store 1.33 GB
[39/500] 1b68fd0ad4949519: 4 rows published; store 1.23 GB
[40/500] 0568d30600d5cf11: 4 rows published; store 1.33 GB
[41/500] fb2d743942556cf6: 4 rows published; store 1.33 GB
[42/500] 8cff6e048cfc3aec: 4 rows published; store 1.23 GB
[43/500] 78d0ed73c6a97922: 4 rows published; store 1.23 GB
[44/500] 84c04e99e77283a2: 4 rows published; store 1.33 GB
[45/500] 0112d7f151517f35: 4 rows published; store 1.16 GB
[46/500] 46093991ce4a09b0: 4 rows published; store 1.33 GB
[47/500] f9e60f38014a522c: 4 rows published; store 1.10 GB
[48/500] f3192eff16d9c8ab: 4 rows published; store 1.33 GB
[49/500] 0e0570926990696e: 4 rows published; store 1.33 GB
[50/500] e7b54b932696b900: 4 rows published; store 1.33 GB
[51/500] 0c072bab03db743d: 4 rows published; store 1.34 GB
