
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset vqav2 --metric vqa --index /home/dblab/hj/mllm_v2/data/vqav2/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2 --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/vqav2 --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 4 --shard-index 0 --shard-size 1000 --expected-index-sha256 b83d5fa288fcb722ca073e261d3fec9086629ed0db2e568a2d5d6a24ef1589d7 --expected-workload-sha256 e341b499a968c5caba4ddffc58fdf0ccafe2e0e212b6cb280ca1b11fc9f31d18 --expected-images 250 --expected-questions 1000 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.31s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.25s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.04s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.10s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/250] 524637: 16 rows published; store 1.34 GB
[2/250] 262531: 16 rows published; store 1.10 GB
[3/250] 265916: 16 rows published; store 1.66 GB
[4/250] 134010: 16 rows published; store 1.34 GB
[5/250] 265069: 16 rows published; store 1.16 GB
[6/250] 133693: 16 rows published; store 1.16 GB
[7/250] 527575: 16 rows published; store 1.34 GB
[8/250] 2239: 16 rows published; store 1.21 GB
[9/250] 2388: 16 rows published; store 1.33 GB
[10/250] 526188: 16 rows published; store 1.33 GB
[11/250] 802: 16 rows published; store 1.23 GB
[12/250] 132288: 16 rows published; store 1.66 GB
[13/250] 527023: 16 rows published; store 1.21 GB
[14/250] 396821: 16 rows published; store 1.21 GB
[15/250] 133042: 16 rows published; store 1.27 GB
[16/250] 131493: 16 rows published; store 1.34 GB
[17/250] 3501: 16 rows published; store 1.66 GB
[18/250] 396051: 16 rows published; store 1.21 GB
[19/250] 568508: 16 rows published; store 1.33 GB
[20/250] 396200: 16 rows published; store 1.21 GB
[21/250] 264948: 16 rows published; store 1.21 GB
[22/250] 135037: 16 rows published; store 1.21 GB
[23/250] 262228: 16 rows published; store 1.34 GB
[24/250] 1369: 16 rows published; store 1.33 GB
[25/250] 524844: 16 rows published; store 1.23 GB
[26/250] 133571: 16 rows published; store 1.21 GB
[27/250] 393274: 16 rows published; store 1.21 GB
[28/250] 480173: 16 rows published; store 1.16 GB
[29/250] 1554: 16 rows published; store 1.21 GB
[30/250] 69914: 16 rows published; store 1.33 GB
[31/250] 526364: 16 rows published; store 1.33 GB
