dialog_id,image_id,method_key,acc1,acc2,acc3,avg,cache_hit_ttft_ms_mean,cache_hit_e2e_ms_mean,cache_hit_ssd_read_bytes_mean
mtgqa_000001,n229548,recompute,1.0,1.0,1.0,1.0,621.2150065111928,659.6719669760205,0.0
mtgqa_000001,n229548,fullload,1.0,1.0,1.0,1.0,890.5568949994631,929.4888314325362,1333788672.0
mtgqa_000001,n229548,prefix25,1.0,1.0,1.0,1.0,302.9815864865668,345.4762029577978,360710144.0
mtgqa_000001,n229548,prefix45,1.0,1.0,1.0,1.0,524.3650805205107,564.3898945418186,629145600.0
mtgqa_000002,n229548,recompute,1.0,1.0,1.0,1.0,609.1504019568674,646.6865430120379,0.0
mtgqa_000002,n229548,fullload,1.0,1.0,1.0,1.0,928.9979549939744,967.9435835569166,1333788672.0
mtgqa_000002,n229548,prefix25,1.0,1.0,1.0,1.0,367.12611850816756,405.09945899248123,360710144.0
mtgqa_000002,n229548,prefix45,1.0,1.0,1.0,1.0,558.957448520232,599.1666570189409,629145600.0
mtgqa_000003,n229548,recompute,1.0,1.0,1.0,1.0,625.0196070177481,680.405015940778,0.0
mtgqa_000003,n229548,fullload,1.0,1.0,1.0,1.0,836.3699289620854,894.1778000444174,1333788672.0
mtgqa_000003,n229548,prefix25,1.0,1.0,1.0,1.0,335.1460060221143,395.4428934957832,360710144.0
mtgqa_000003,n229548,prefix45,1.0,1.0,1.0,1.0,546.0471815313213,602.8784990194254,629145600.0
mtgqa_000004,n229548,recompute,0.0,1.0,1.0,0.6666666666666666,621.0807815077715,649.7862404794432,0.0
mtgqa_000004,n229548,fullload,0.0,1.0,1.0,0.6666666666666666,860.9191924915649,890.4075985192321,1333788672.0
mtgqa_000004,n229548,prefix25,0.0,1.0,1.0,0.6666666666666666,342.125880997628,372.63142148731276,360710144.0
mtgqa_000004,n229548,prefix45,0.0,1.0,1.0,0.6666666666666666,512.3482704511844,544.1541439504363,629145600.0
mtgqa_000005,n229548,recompute,0.0,1.0,1.0,0.6666666666666666,621.8301745248027,659.3927510548383,0.0
mtgqa_000005,n229548,fullload,0.0,1.0,1.0,0.6666666666666666,844.1060225013644,882.6139779412188,1333788672.0
mtgqa_000005,n229548,prefix25,0.0,0.0,1.0,0.3333333333333333,332.28011801838875,370.29025005176663,360710144.0
mtgqa_000005,n229548,prefix45,0.0,1.0,1.0,0.6666666666666666,517.1387135051191,555.8179185027257,629145600.0
mtgqa_000006,n229548,recompute,1.0,1.0,1.0,1.0,595.1197569374926,632.356820453424,0.0
mtgqa_000006,n229548,fullload,1.0,1.0,1.0,1.0,886.2383875530213,924.697165552061,1333788672.0
mtgqa_000006,n229548,prefix25,1.0,1.0,1.0,1.0,306.8538859952241,345.7656560349278,360710144.0
mtgqa_000006,n229548,prefix45,1.0,1.0,1.0,1.0,499.648745986633,537.8452385193668,629145600.0
mtgqa_000007,n229548,recompute,1.0,1.0,1.0,1.0,618.6291515477933,656.1348095419817,0.0
mtgqa_000007,n229548,fullload,1.0,1.0,1.0,1.0,975.5207494599745,1015.7103990204632,1333788672.0
mtgqa_000007,n229548,prefix25,1.0,1.0,1.0,1.0,324.66733595356345,365.1378374779597,360710144.0
mtgqa_000007,n229548,prefix45,1.0,1.0,1.0,1.0,504.50201000785455,543.348342529498,629145600.0
mtgqa_000008,n229548,recompute,1.0,1.0,1.0,1.0,606.3368790200911,634.9525980185717,0.0
mtgqa_000008,n229548,fullload,1.0,1.0,1.0,1.0,914.9344605393708,944.3879800383002,1333788672.0
mtgqa_000008,n229548,prefix25,1.0,1.0,1.0,1.0,328.2093395246193,357.3344125179574,360710144.0
mtgqa_000008,n229548,prefix45,1.0,1.0,1.0,1.0,506.7959160078317,540.1647709659301,629145600.0
mtgqa_000009,n229548,recompute,0.0,1.0,1.0,0.6666666666666666,603.4534144564532,641.2295734626241,0.0
mtgqa_000009,n229548,fullload,0.0,1.0,1.0,0.6666666666666666,906.7842669901438,946.4824144961312,1333788672.0
mtgqa_000009,n229548,prefix25,0.0,1.0,1.0,0.6666666666666666,296.85451049590483,336.6653685225174,360710144.0
mtgqa_000009,n229548,prefix45,0.0,1.0,1.0,0.6666666666666666,512.4716314603575,554.8073920072056,629145600.0
mtgqa_000010,n229548,recompute,0.0,1.0,1.0,0.6666666666666666,631.3148389454,650.6875724880956,0.0
mtgqa_000010,n229548,fullload,0.0,1.0,1.0,0.6666666666666666,875.6530630635098,896.5330160572194,1333788672.0
mtgqa_000010,n229548,prefix25,0.0,1.0,1.0,0.6666666666666666,341.17447648895904,361.1722769564949,360710144.0
mtgqa_000010,n229548,prefix45,0.0,1.0,1.0,0.6666666666666666,520.1041599502787,540.3792544384487,629145600.0
