dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,generated_tokens,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,logical_kv_ratio_per_layer,fallback_rate,normal_chunk_count_total,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,total_actual_pread_bytes,static_score_calls,query_score_calls,diversity_calls,selection_mode,selected_chunk_ids_per_layer,separator_policy,reordered_prefix_store_validated,n_raters
gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,478.5783633124083,,,740.0784259662032,744.9249220080674,20.600585034117103,765.5255070421845,1124073472,2176,64,,685.4005232453346,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,,,,,null,,,0
gqa,recompute,ReComp,,none,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,0.0,,,818.2930069742724,818.2932159397751,20.118474029004574,838.4116899687797,0,0,0,,,,,,,null,,,0,0,0,0,0,,,,,null,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,422.1767105627805,,,748.0745710199699,755.9656460070983,22.25848799571395,778.2241340028122,907280384,2724,134,,694.5974038681015,,,0.7518382352941176,0.2462686567164179,null,0.1875,,854589440,0,102,0,907280384,,,,,null,,,13
gqa,reorder_prefix_chunk@25,Reorder+Prefix,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,0.18390698824077845,160.69872479420155,44.4534505950287,232.74839099030942,52.82100406475365,285.6321600265801,18.924832926131785,304.5569929527119,285212672,512,65,182.53592785913497,0.0,8.0,34,0.23529411764705882,0.24406774720149255,"[0.23880597014925373, 0.23880597014925373, 0.2490671641791045, 0.2416044776119403, 0.24207089552238806, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.24253731343283583, 0.240205223880597, 0.2513992537313433, 0.2513992537313433, 0.2490671641791045, 0.24953358208955223, 0.24720149253731344, 0.25046641791044777, 0.25046641791044777, 0.24813432835820895, 0.24813432835820895, 0.24766791044776118, 0.24860074626865672, 0.23973880597014927, 0.2439365671641791, 0.24486940298507462, 0.2439365671641791, 0.24440298507462688, 0.24347014925373134, 0.24300373134328357]",0.0,256,268435456,16777216,64,1,285212672,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,0
gqa,reorder_prefix_chunk@50,Reorder+Prefix,0.5,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,0.35293109249323606,261.54684636276215,88.09972193557769,416.4865530328825,38.59364800155163,455.13352600391954,19.06552107539028,474.1990470793098,587202560,1088,65,321.2706178892404,0.0,17.0,34,0.5,0.5080165578358209,"[0.5074626865671642, 0.5074626865671642, 0.5125932835820896, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5097947761194029, 0.5107276119402985, 0.5083955223880597, 0.5074626865671642, 0.5088619402985075, 0.5102611940298507, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5083955223880597, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5083955223880597, 0.5074626865671642, 0.5074626865671642]",0.0,544,570425344,16777216,64,1,587202560,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",sidecar,True,0
gqa,visionzip_static_chunk@25,visionzip_static_chunk@25,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,3.698157612234354,184.7506316844374,47.580660320818424,267.6903048995882,37.765852990560234,305.50156196113676,19.321719999425113,324.82328196056187,285212672,512,147,210.5848927749321,0.0,8.0,34,0.23529411764705882,0.24444671175373134,"[0.2537313432835821, 0.23880597014925373, 0.24860074626865672, 0.2453358208955224, 0.24207089552238806, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23973880597014927, 0.24253731343283583, 0.24253731343283583, 0.24860074626865672, 0.2513992537313433, 0.2490671641791045, 0.24673507462686567, 0.24580223880597016, 0.25046641791044777, 0.25, 0.24813432835820895, 0.24673507462686567, 0.24580223880597016, 0.24720149253731344, 0.23973880597014927, 0.2453358208955224, 0.24300373134328357, 0.24580223880597016, 0.24440298507462688, 0.24486940298507462, 0.24300373134328357]",0.0,256,268435456,16777216,146,1,285212672,32,0,0,static,"[[4, 6, 7, 8, 9, 10, 11, 15], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 7, 8], [0, 1, 2, 3, 4, 7, 9, 11], [0, 1, 2, 3, 4, 5, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 9], [0, 1, 2, 3, 4, 5, 6, 9], [0, 1, 2, 3, 4, 5, 6, 9], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 6, 7, 11], [0, 1, 2, 3, 4, 6, 8, 11], [0, 1, 2, 3, 4, 7, 8, 11], [0, 1, 2, 3, 4, 5, 7, 8], [0, 2, 4, 5, 6, 7, 8, 12], [0, 1, 2, 3, 4, 6, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 5, 6, 7, 9], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 10], [0, 1, 2, 3, 4, 6, 7, 9], [0, 1, 2, 3, 4, 5, 7, 12], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 7, 8], [0, 1, 2, 3, 4, 6, 7, 8], [0, 1, 2, 3, 5, 7, 8, 12], [0, 1, 2, 3, 4, 6, 7, 8], [0, 1, 2, 3, 5, 6, 7, 9], [0, 1, 2, 3, 4, 5, 7, 10]]",sidecar,,0
gqa,visionzip_static_chunk@50,visionzip_static_chunk@50,0.5,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,4.541591973975301,279.15997116360813,81.85744297225028,426.98601295705885,38.35127700585872,465.38848197087646,19.49044899083674,484.8789309617132,587202560,1088,165,334.1080949176103,0.0,17.0,34,0.5,0.508672458022388,"[0.5223880597014925, 0.5074626865671642, 0.5121268656716418, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5074626865671642, 0.5083955223880597, 0.5097947761194029, 0.5111940298507462, 0.5088619402985075, 0.5074626865671642, 0.5097947761194029, 0.5102611940298507, 0.507929104477612, 0.507929104477612, 0.507929104477612, 0.507929104477612, 0.5074626865671642, 0.507929104477612, 0.507929104477612, 0.5083955223880597, 0.5083955223880597, 0.5074626865671642, 0.5083955223880597]",0.0,544,570425344,16777216,164,1,587202560,32,0,0,static,"[[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 21], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 18, 19, 25], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 20, 22], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 18, 24], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 20]]",sidecar,,0
gqa,diverse_chunk@25,diverse_chunk@25,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,21.623070118948817,340.91072739101946,54.31691976264119,461.3424220588058,46.46405391395092,507.8675369732082,19.694049027748406,527.5615860009566,275775488,512,413,379.15919336955994,0.0,8.0,34,0.23529411764705882,0.24131296641791045,"[0.22388059701492538, 0.22388059701492538, 0.2355410447761194, 0.23507462686567165, 0.23414179104477612, 0.23414179104477612, 0.24673507462686567, 0.24860074626865672, 0.24766791044776118, 0.23367537313432835, 0.23507462686567165, 0.23787313432835822, 0.2523320895522388, 0.24953358208955223, 0.23600746268656717, 0.23740671641791045, 0.25093283582089554, 0.23787313432835822, 0.25093283582089554, 0.251865671641791, 0.25093283582089554, 0.2355410447761194, 0.251865671641791, 0.23414179104477612, 0.25046641791044777, 0.2294776119402985, 0.2513992537313433, 0.251865671641791, 0.23787313432835822, 0.2513992537313433, 0.23600746268656717, 0.23787313432835822]",0.0,256,258998272,16777216,412,1,275775488,0,0,32,diverse_only,"[[0, 5, 7, 8, 11, 12, 20, 33], [0, 2, 4, 8, 12, 16, 24, 33], [0, 1, 10, 12, 14, 18, 28, 33], [3, 5, 14, 16, 22, 25, 32, 33], [4, 7, 10, 17, 23, 26, 32, 33], [0, 2, 9, 17, 22, 27, 30, 33], [0, 13, 21, 25, 27, 29, 30, 31], [1, 3, 10, 18, 19, 28, 30, 31], [0, 9, 24, 25, 28, 29, 30, 31], [0, 5, 10, 23, 27, 28, 32, 33], [0, 6, 18, 24, 28, 29, 30, 33], [0, 12, 24, 27, 28, 31, 32, 33], [0, 3, 22, 23, 28, 30, 31, 32], [0, 4, 11, 21, 26, 28, 30, 32], [0, 11, 16, 26, 28, 29, 32, 33], [0, 8, 21, 25, 27, 30, 32, 33], [0, 13, 20, 21, 23, 27, 29, 32], [0, 6, 18, 26, 27, 29, 32, 33], [0, 10, 21, 23, 24, 29, 31, 32], [0, 9, 21, 23, 27, 28, 29, 32], [0, 7, 13, 17, 23, 24, 28, 30], [5, 11, 14, 18, 23, 25, 30, 33], [0, 1, 12, 16, 19, 23, 29, 30], [0, 3, 7, 14, 19, 23, 26, 33], [0, 6, 12, 18, 19, 23, 30, 31], [3, 4, 5, 7, 22, 23, 27, 33], [0, 5, 11, 18, 21, 25, 27, 32], [1, 7, 17, 23, 24, 27, 30, 31], [0, 18, 19, 26, 29, 30, 31, 33], [0, 2, 16, 21, 24, 28, 29, 32], [1, 7, 16, 21, 23, 28, 32, 33], [4, 17, 22, 24, 25, 29, 32, 33]]",sidecar,,0
gqa,diverse_chunk@50,diverse_chunk@50,0.5,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,38.177718059159815,519.9326104484499,90.70879267528653,739.660804043524,56.695505045354366,796.4241850422695,20.614609005860984,817.0387940481305,571473920,1088,579,603.654698934406,0.0,17.0,34,0.5,0.4995627332089552,"[0.4925373134328358, 0.4925373134328358, 0.49906716417910446, 0.4962686567164179, 0.4976679104477612, 0.49720149253731344, 0.49580223880597013, 0.4925373134328358, 0.49347014925373134, 0.498134328358209, 0.49300373134328357, 0.5023320895522388, 0.498134328358209, 0.49720149253731344, 0.5018656716417911, 0.5013992537313433, 0.5027985074626866, 0.5041977611940298, 0.5004664179104478, 0.5032649253731343, 0.5018656716417911, 0.5013992537313433, 0.5013992537313433, 0.49953358208955223, 0.5004664179104478, 0.4939365671641791, 0.5144589552238806, 0.4986007462686567, 0.5023320895522388, 0.511660447761194, 0.5018656716417911, 0.4986007462686567]",0.0,544,554696704,16777216,578,1,571473920,0,0,32,diverse_only,"[[0, 1, 2, 3, 4, 5, 7, 8, 11, 12, 19, 20, 24, 28, 30, 31, 33], [0, 1, 2, 3, 4, 8, 12, 14, 16, 17, 23, 24, 28, 29, 31, 32, 33], [0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 14, 17, 18, 24, 28, 32, 33], [0, 1, 2, 3, 5, 6, 8, 9, 14, 15, 16, 20, 22, 25, 29, 32, 33], [0, 1, 4, 5, 7, 8, 10, 12, 16, 17, 23, 25, 26, 27, 29, 32, 33], [0, 1, 2, 5, 7, 9, 10, 13, 15, 17, 18, 22, 24, 27, 30, 31, 33], [0, 2, 3, 6, 8, 11, 13, 14, 17, 21, 25, 27, 29, 30, 31, 32, 33], [0, 1, 2, 3, 6, 7, 10, 16, 17, 18, 19, 23, 27, 28, 30, 31, 33], [0, 1, 2, 4, 7, 8, 9, 16, 23, 24, 25, 28, 29, 30, 31, 32, 33], [0, 2, 5, 8, 9, 10, 14, 17, 19, 23, 24, 27, 28, 30, 31, 32, 33], [0, 1, 2, 3, 6, 8, 13, 18, 19, 20, 24, 26, 28, 29, 30, 31, 33], [0, 1, 2, 3, 8, 9, 12, 14, 18, 20, 24, 26, 27, 28, 31, 32, 33], [0, 2, 3, 5, 6, 7, 16, 21, 22, 23, 27, 28, 29, 30, 31, 32, 33], [0, 1, 2, 4, 5, 7, 11, 18, 21, 24, 26, 28, 29, 30, 31, 32, 33], [0, 1, 4, 9, 11, 14, 15, 16, 22, 23, 26, 27, 28, 29, 30, 32, 33], [0, 2, 3, 4, 8, 11, 15, 17, 21, 25, 26, 27, 28, 30, 31, 32, 33], [0, 1, 2, 4, 10, 13, 15, 20, 21, 23, 24, 26, 27, 28, 29, 32, 33], [0, 3, 6, 10, 13, 18, 21, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33], [0, 2, 6, 7, 10, 15, 17, 21, 23, 24, 26, 27, 28, 29, 31, 32, 33], [0, 1, 2, 9, 11, 12, 18, 21, 22, 23, 25, 27, 28, 29, 31, 32, 33], [0, 2, 3, 4, 6, 7, 13, 14, 17, 22, 23, 24, 28, 29, 30, 31, 33], [0, 1, 3, 5, 9, 11, 13, 14, 18, 21, 22, 23, 24, 25, 30, 31, 33], [0, 1, 2, 4, 7, 8, 12, 13, 16, 18, 19, 20, 23, 25, 29, 30, 33], [0, 1, 3, 5, 7, 8, 10, 14, 15, 17, 19, 21, 23, 26, 30, 32, 33], [0, 1, 2, 6, 8, 11, 12, 14, 16, 18, 19, 21, 23, 30, 31, 32, 33], [0, 1, 2, 3, 4, 5, 7, 8, 13, 15, 18, 22, 23, 27, 28, 31, 33], [0, 1, 2, 5, 7, 8, 11, 12, 16, 18, 21, 24, 25, 26, 27, 31, 32], [0, 1, 3, 6, 7, 8, 10, 13, 17, 23, 24, 26, 27, 30, 31, 32, 33], [0, 1, 2, 6, 9, 13, 14, 18, 19, 26, 27, 28, 29, 30, 31, 32, 33], [0, 1, 2, 4, 5, 6, 8, 12, 13, 14, 16, 21, 24, 28, 29, 30, 32], [0, 1, 2, 7, 12, 13, 16, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33], [0, 2, 4, 5, 8, 11, 12, 15, 17, 20, 22, 23, 24, 25, 29, 32, 33]]",sidecar,,0
gqa,static_diverse_chunk@25,Static+Diverse,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,16.934997052885592,253.3292886801064,55.588049814105034,364.45588001515716,55.17619801685214,419.6949430042878,19.70370695926249,439.39864996355027,281018368,512,273,285.84421472623944,0.0,8.0,34,0.23529411764705882,0.2419980177238806,"[0.23880597014925373, 0.22388059701492538, 0.23460820895522388, 0.2462686567164179, 0.24440298507462688, 0.24207089552238806, 0.22761194029850745, 0.23880597014925373, 0.22388059701492538, 0.2392723880597015, 0.22388059701492538, 0.240205223880597, 0.2462686567164179, 0.24720149253731344, 0.25, 0.25279850746268656, 0.25046641791044777, 0.24860074626865672, 0.24813432835820895, 0.251865671641791, 0.2513992537313433, 0.25046641791044777, 0.25, 0.23414179104477612, 0.24860074626865672, 0.2416044776119403, 0.24860074626865672, 0.2439365671641791, 0.2332089552238806, 0.2462686567164179, 0.23041044776119404, 0.2462686567164179]",0.0,256,264241152,16777216,272,1,281018368,32,0,32,static_diverse,"[[0, 4, 6, 7, 8, 9, 11, 20], [0, 1, 2, 4, 6, 7, 12, 33], [0, 1, 2, 3, 7, 8, 18, 33], [0, 1, 2, 3, 4, 7, 25, 28], [0, 1, 2, 3, 4, 7, 27, 32], [0, 1, 2, 3, 4, 7, 13, 27], [0, 1, 3, 4, 5, 6, 30, 33], [0, 1, 2, 3, 4, 5, 28, 31], [0, 1, 2, 3, 4, 7, 31, 33], [0, 1, 2, 3, 5, 6, 28, 32], [0, 1, 2, 3, 4, 6, 28, 33], [0, 2, 3, 4, 5, 6, 28, 31], [0, 2, 3, 4, 5, 7, 28, 32], [0, 2, 3, 6, 7, 11, 29, 32], [0, 1, 2, 4, 6, 11, 28, 32], [0, 1, 2, 3, 4, 8, 28, 32], [0, 1, 2, 3, 4, 7, 26, 29], [0, 2, 4, 5, 6, 12, 27, 32], [0, 1, 2, 3, 4, 6, 27, 32], [0, 1, 2, 3, 4, 5, 27, 32], [0, 1, 2, 3, 5, 6, 21, 30], [0, 1, 2, 4, 5, 7, 23, 30], [0, 1, 2, 3, 4, 5, 21, 29], [0, 1, 2, 3, 6, 7, 22, 33], [0, 1, 2, 3, 4, 12, 19, 31], [0, 1, 2, 3, 4, 5, 24, 27], [0, 1, 2, 3, 4, 5, 25, 32], [0, 1, 2, 3, 4, 8, 27, 31], [0, 1, 2, 3, 5, 7, 28, 33], [0, 1, 2, 3, 6, 8, 27, 32], [0, 1, 2, 3, 5, 7, 28, 33], [0, 1, 2, 3, 4, 7, 24, 29]]",sidecar,,0
