method_key,method,retention,retention_kind,n_requests,n_images,accuracy,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_std_ms,decode_mean_ms,decode_p50_ms,decode_p95_ms,e2e_latency_mean_ms,e2e_latency_p50_ms,e2e_latency_p95_ms,generated_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_read_mb_mean,ssd_read_chunks_mean,prepare_mean_ms,selector_mean_ms,ssd_read_mean_ms,scatter_mean_ms,prefill_mean_ms,normal_chunk_count_total_mean,normal_kv_read_bytes_mean,separator_read_bytes_mean,normal_kv_preads_mean,separator_preads_mean,static_score_calls_mean,query_score_calls_mean,diversity_calls_mean,ttft_reduction_vs_fullload_pct,ttft_reduction_vs_recompute_pct
recompute,ReComp,,none,240,40,0.625,503.8130109557339,506.86943950131536,598.1608524161854,72.11821022399225,26.532935148861725,19.69061093404889,56.70047455932945,530.3459461045956,536.3109915051609,624.3953736324327,2.370833333333333,0.0,0,0.0,0.0,,,0.0,,503.812777317944,,0.0,0.0,0.0,0.0,,,,23.21627588116354,0.0
fullload,FullLoad,1.0,full,240,40,0.6208333333333333,656.1455786853912,659.004494023975,778.9645812299568,79.14440805843519,31.064039762713946,23.787772515788674,58.24987803352996,687.2096184481052,686.8466474697925,804.2424304876477,2.379166666666667,1165072793.6,279617470464,1165.0727936,2248.0,,,397.72208277572645,,651.1396870409953,,1165072793.6,0.0,64.0,0.0,,,,0.0,-30.235933653377145
sparsevlm,SparseVLM,0.25,token,240,40,0.6,737.8990418175817,746.6013245284557,882.7975124469957,96.30197892638935,37.71860426641069,34.17576052015647,65.98243362968783,775.6176460839924,790.1923705358058,923.4515955788083,2.379166666666667,928098440.5333333,222743625728,928.0984405333334,2793.983333333333,,,391.3897837730474,,731.1933020755532,,873485653.3333334,0.0,109.825,0.0,,,,-12.459653130024307,-46.462879237236535
reorder_prefix_chunk@25,Reorder+Prefix,0.25,chunk,240,40,0.6041666666666666,262.1552122271775,261.89540297491476,318.9694976783357,32.34150824964081,26.89561923519553,19.697142473887652,57.26610212004743,289.050831462373,289.29843043442816,349.3544595665298,2.3833333333333333,306079334.4,73459040256,306.0793344,545.6,216.46893011735906,0.19381173866956183,132.67476693145,51.31743940825496,45.62809417548124,272.8,286051532.8,20027801.6,64.0,1.0,0.0,0.0,0.0,60.046181709794666,47.96577171957732
visionzip_static_chunk@25,visionzip_static_chunk@25,0.25,chunk,240,40,0.4666666666666667,296.07578517704195,295.69310299120843,348.99037140421564,39.847768463626124,41.977114647064205,19.848926458507776,170.49086407059775,338.05289982410613,322.37962196813896,496.26712496974505,3.191666666666667,306066227.2,73455894528,306.06622719999996,545.6,250.0698804690425,3.867849675104177,158.68092092763013,52.553337036806624,45.9478022128072,272.8,286038425.6,20027801.6,168.95,1.0,32.0,0.0,0.0,54.876509909547934,41.23300138371063
diverse_chunk@25,diverse_chunk@25,0.25,chunk,240,40,0.5833333333333334,406.7126958339941,389.5359945599921,548.5704391903708,74.31987163090018,27.022379918101553,19.704474485479295,57.30283457087352,433.7350757520956,418.31737651955336,570.5353867437224,2.3875,296561049.6,71174651904,296.5610496,545.6,363.1845195549734,18.98011579372299,255.57239573293677,51.19881376400978,43.47381003317423,272.8,276533248.0,20027801.6,440.7,1.0,0.0,0.0,32.0,38.01486910132718,19.273086047845485
static_diverse_chunk@25,Static+Diverse,0.25,chunk,240,40,0.6083333333333333,337.5875165613252,331.12267148680985,412.1290222858079,49.05819920152901,26.770066568860784,19.70033347606659,57.46519436943345,364.35758313018596,361.6083054803312,439.49164106743405,2.375,300401459.2,72096350208,300.40145920000003,545.6,293.4574470971711,14.865979013848118,190.35855806869222,52.055668943891455,44.0756602838519,272.8,280373657.6,20027801.6,276.55,1.0,32.0,0.0,32.0,48.54990606845319,32.99348980271047
reorder_prefix_chunk@50,Reorder+Prefix,0.5,chunk,240,40,0.625,426.25795069567783,426.6881580115296,505.9183793258853,50.73633128680443,26.701799539538722,19.609603041317314,57.16583363246173,452.9597502352165,454.85572301549837,530.1491382415406,2.379166666666667,603874918.4,144929980416,603.8749184000001,1113.6,380.87120259248576,0.3337151841454518,228.29749431790938,87.57832915871404,45.32330166354465,556.8,583847116.8,20027801.6,64.0,1.0,0.0,0.0,0.0,35.03607056993369,15.39361996883209
visionzip_static_chunk@50,visionzip_static_chunk@50,0.5,chunk,240,40,0.5541666666666667,467.9345673100518,469.4222524994984,552.3484239296522,59.4269499325351,38.94448220041037,19.80705198366195,98.5475623980155,506.8790495104622,501.0621630353853,666.8034347356296,3.025,603825766.4,144918183936,603.8257663999999,1113.6,422.8427360130202,4.914708160989297,257.6061623316491,89.09710386409036,45.02923683515595,556.8,583797964.8,20027801.6,189.05,1.0,32.0,0.0,0.0,28.68433736190469,7.121380922183916
diverse_chunk@50,diverse_chunk@50,0.5,chunk,240,40,0.6208333333333333,646.1855006282955,644.3041265010834,810.8257619140203,93.87322591118627,26.646477669904318,19.715032016392797,56.894429825479165,672.8319782981998,666.7374930111691,837.6610482286195,2.370833333333333,591489433.6,141957464064,591.4894336,1113.6,601.6934635850097,36.00397713162238,386.4819656198961,90.58867562853266,44.42956284474349,556.8,571461632.0,20027801.6,603.85,1.0,0.0,0.0,32.0,1.5179677164099914,-28.258994225353746
