aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,dialog_id
dialog,visdial:100528,FullLoad,1.0,10,0.6,654.3035100097768,648.4220025013201,713.4718022542074,21.663348603760824,19.993743509985507,26.415823970455676,675.9668586135376,671.5851490153,733.3212021563668,1072.693248,10726.93248,0.0,,,1.0,1.0,1.0,89.3,2046.0,2168.9,1.072693248,1.072693248,5.131963904,6.38808192,2.0940357632,visdial:100528
dialog,visdial:100528,ReComp,,10,0.6,478.9994369028136,479.4467835163232,507.28968979383353,19.13866038667038,19.007929979125038,19.77780694141984,498.138097289484,498.81532599101774,526.1890842259163,0.0,0.0,0.0,0.0,478.9992366102524,,,,89.3,2046.0,2168.9,1.072693248,0.0,5.0244324352,7.7730699264,2.0940357632,visdial:100528
dialog,visdial:100528,SparseVLM 25%,0.25,10,0.6,640.5045118939597,668.3539865189232,693.2623634871561,32.73529889411293,26.48253398365341,49.03857838944532,673.2398107880726,699.852859514067,739.9020764802117,803.274752,8032.74752,,,,0.24633431085043983,0.24633431085043983,0.7019641984359727,89.3,2046.0,2168.9,1.072693248,0.752992256,5.131963904,6.3892821504,2.0941930496,visdial:100528
dialog,visdial:100528,Static+Diverse 25%,0.25,10,0.6,323.9308951073326,336.07327699428424,346.99740694777574,19.632043596357107,19.496136490488425,20.25988235254772,343.5629387036897,355.4305099823978,366.6849201574223,283.869184,2838.69184,14.428947231499478,49.579525069566444,52.40525140543468,0.2507331378299121,0.2507331378299121,0.2646322091886608,89.3,2046.0,2168.9,1.072693248,0.283869184,5.131963904,6.388395366399999,2.0941930496,visdial:100528
dialog,visdial:100528,Static+Diverse 50%,0.5,10,0.6,516.6336420923471,522.0737075142097,538.1119480472989,19.474854902364314,19.34264099691063,20.332113371114247,536.1084969947115,541.4179190120194,557.687947966042,552.042496,5520.42496,21.09234157251194,82.99466618336737,56.5576093911659,0.5,0.5,0.5146322091886608,89.3,2046.0,2168.9,1.072693248,0.552042496,5.131963904,6.3889132032,2.0941930496,visdial:100528
dialog,visdial:112033,FullLoad,1.0,10,0.7,704.5652417058591,703.5852410190273,772.3562958533876,23.64863910479471,19.885943009285256,38.880868049454875,728.2138808106538,729.076610004995,792.0455502171535,1226.83392,12268.3392,0.0,,,1.0,1.0,1.0,87.0,2340.0,2461.5,1.22683392,1.22683392,5.28706304,6.7018089472,2.1130493952,visdial:112033
dialog,visdial:112033,ReComp,,10,0.7,551.750393799739,549.1356195125263,575.4475085996091,22.777130996109918,19.012404518434778,37.84810443466995,574.5275247958489,572.9036044795066,602.4944929464255,0.0,0.0,0.0,0.0,551.7501901951618,,,,87.0,2340.0,2461.5,1.22683392,0.0,5.16315904,8.5138622464,2.1130493952,visdial:112033
dialog,visdial:112033,SparseVLM 25%,0.25,10,0.7,785.3385459049605,770.3920445055701,843.200162940775,29.675804096041247,26.390598970465362,42.21116514818277,815.0143500010017,807.3332549829502,876.8030130682746,1004.5161472000001,10045.161472,,,,0.24615384615384617,0.24615384615384617,0.7719123931623931,87.0,2340.0,2461.5,1.22683392,0.9470083072000001,5.286104576,6.7123372032,2.1206294528,visdial:112033
dialog,visdial:112033,Static+Diverse 25%,0.25,10,0.7,345.1212928048335,345.36291350377724,364.4508772966219,23.041842703241855,19.18360000126995,38.49968971044291,368.16313550807536,364.4598145328928,394.1135206609033,312.147968,3121.47968,16.113900661002845,53.97509630420245,60.456025711027905,0.23461538461538461,0.23461538461538461,0.25443376068376067,87.0,2340.0,2461.5,1.22683392,0.312147968,5.28706304,6.702240256,2.1038518272,visdial:112033
dialog,visdial:112033,Static+Diverse 50%,0.5,10,0.7,578.3884381991811,582.8688730252907,609.8460903565865,24.247648805612698,19.761884002946317,38.356145325815305,602.6360870047938,608.4080770087894,640.2834336215165,610.46784,6104.6784,22.36423198482953,90.85828724200837,57.12882029474713,0.4803418803418803,0.4803418803418803,0.4975961538461539,87.0,2340.0,2461.5,1.22683392,0.61046784,5.286104576,6.7011574784,2.111244288,visdial:112033
