aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,history_tokens_mean,active_visual_tokens_mean,full_visual_kv_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
overall,all,FullLoad,1.0,20,0.55,630.9930527495453,620.3617224819027,697.3936238238821,29.547159501817077,19.95975451427512,49.35137491265785,660.5402122513624,640.1131390011869,763.7621398782358,1175.453696,23509.07392,0.0,0.0,625.9740154520841,1.0,89.15,2242.0,1.175453696,1.0,,,,,
overall,all,ReComp,,20,0.55,549.7527575469576,534.4948044803459,584.4925375218738,25.87933189352043,19.115318515105173,31.04993680317429,575.632089440478,554.0672155038919,697.5539077015129,0.0,0.0,0.0,0.0,549.7524584032362,,89.15,2242.0,1.175453696,0.0,,,,,
overall,all,SparseVLM 25%,0.25,20,0.5,684.3887349008583,686.4206104946788,756.962546549039,37.22979150188621,28.644553502090275,57.47266249672982,721.6185264027445,719.4523660000414,814.5612358552171,860.3271168,17206.542336,605.2995814185124,0.0,677.6215740537737,0.246211251435132,89.15,2242.0,1.175453696,0.731910682426405,,,,,
overall,all,Static+Diverse 25%,0.25,20,0.5,323.7531360529829,319.2691709846258,361.6655442136107,26.014007249614224,19.35955646331422,26.82988927117558,349.7671433025971,339.89237452624366,415.3185008995934,301.13792,6022.7584,15.741031800280325,53.069167988724075,54.26277745573316,0.24247990815154993,89.15,2242.0,1.175453696,0.25618867082961644,48.69148960638597,74.38113291703836,-0.050000000000000044,52.69455507623422,64.99727671957068
overall,all,Static+Diverse 50%,0.5,20,0.5,529.2638005601475,528.5457605205011,572.2555792628555,25.883872047415935,19.361999991815537,26.670267069130297,555.1476726075634,548.4166545211338,609.6201479609591,597.950464,11959.00928,21.920090302592143,90.52367364638485,55.4247932479484,0.48643959688735805,89.15,2242.0,1.175453696,0.5086975914362176,16.12208751682982,49.13024085637824,-0.050000000000000044,22.6662021786759,30.497312903016937
active_images,1,FullLoad,1.0,20,0.55,630.9930527495453,620.3617224819027,697.3936238238821,29.547159501817077,19.95975451427512,49.35137491265785,660.5402122513624,640.1131390011869,763.7621398782358,1175.453696,23509.07392,0.0,0.0,625.9740154520841,1.0,89.15,2242.0,1.175453696,1.0,,,,,
active_images,1,ReComp,,20,0.55,549.7527575469576,534.4948044803459,584.4925375218738,25.87933189352043,19.115318515105173,31.04993680317429,575.632089440478,554.0672155038919,697.5539077015129,0.0,0.0,0.0,0.0,549.7524584032362,,89.15,2242.0,1.175453696,0.0,,,,,
active_images,1,SparseVLM 25%,0.25,20,0.5,684.3887349008583,686.4206104946788,756.962546549039,37.22979150188621,28.644553502090275,57.47266249672982,721.6185264027445,719.4523660000414,814.5612358552171,860.3271168,17206.542336,605.2995814185124,0.0,677.6215740537737,0.246211251435132,89.15,2242.0,1.175453696,0.731910682426405,,,,,
active_images,1,Static+Diverse 25%,0.25,20,0.5,323.7531360529829,319.2691709846258,361.6655442136107,26.014007249614224,19.35955646331422,26.82988927117558,349.7671433025971,339.89237452624366,415.3185008995934,301.13792,6022.7584,15.741031800280325,53.069167988724075,54.26277745573316,0.24247990815154993,89.15,2242.0,1.175453696,0.25618867082961644,48.69148960638597,74.38113291703836,-0.050000000000000044,52.69455507623422,64.99727671957068
active_images,1,Static+Diverse 50%,0.5,20,0.5,529.2638005601475,528.5457605205011,572.2555792628555,25.883872047415935,19.361999991815537,26.670267069130297,555.1476726075634,548.4166545211338,609.6201479609591,597.950464,11959.00928,21.920090302592143,90.52367364638485,55.4247932479484,0.48643959688735805,89.15,2242.0,1.175453696,0.5086975914362176,16.12208751682982,49.13024085637824,-0.050000000000000044,22.6662021786759,30.497312903016937
