aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,dialog_id
dialog,visdial:511888,FullLoad,1.0,10,0.6,682.1961718029343,696.8292555247899,734.8299108591164,35.823563899612054,21.932802017545328,98.15306907403271,718.0197357025463,718.0689875385724,825.5479242827276,1226.83392,12268.3392,0.0,,,1.0,1.0,1.0,90.2,2340.0,2463.7,1.22683392,1.22683392,5.28706304,6.7038443008,2.1520928768000003,visdial:511888
dialog,visdial:511888,ReComp,,10,0.6,581.9928807963151,557.5159399886616,712.4053187930256,32.747015391942114,19.44440949591808,92.03205048979713,614.7398961882573,581.2884189654142,778.1745072483316,0.0,0.0,0.0,0.0,581.9927143049426,,,,90.2,2340.0,2463.7,1.22683392,0.0,5.16315904,8.518559744,2.1021548544,visdial:511888
dialog,visdial:511888,SparseVLM 25%,0.25,10,0.5,696.8837413995061,712.3647404951043,756.0463375557447,45.794674108037725,34.63406200171448,99.39275221840934,742.6784155075438,749.3396815261804,845.8249045797855,889.2383232000001,8892.383232,,,,0.24615384615384617,0.24615384615384617,0.6779487179487178,90.2,2340.0,2463.7,1.22683392,0.8317304832000001,5.286104576,6.7037706751999995,2.1442371584,visdial:511888
dialog,visdial:511888,Static+Diverse 25%,0.25,10,0.5,346.861080895178,342.1857175126206,385.9488864138256,33.009401109302416,19.95611097663641,92.61264887463753,379.87048200448044,361.7276340373792,474.08511484100006,318.111744,3181.11744,16.151286783860996,54.85569039010443,53.72095959028229,0.24615384615384617,0.24615384615384617,0.2592948717948719,90.2,2340.0,2463.7,1.22683392,0.318111744,5.28706304,6.7042783232,2.1445124096,visdial:511888
dialog,visdial:511888,Static+Diverse 50%,0.5,10,0.5,561.7816982092336,567.0535325189121,577.748027589405,32.781146286288276,19.801560993073508,91.7604621063218,594.5628444955219,586.8698759877589,669.3603033520047,615.514112,6155.14112,22.99524789559655,94.96490101446398,59.1863751062192,0.4803418803418803,0.4803418803418803,0.5017094017094017,90.2,2340.0,2463.7,1.22683392,0.615514112,5.286104576,6.703304704,2.144571392,visdial:511888
dialog,visdial:96511,FullLoad,1.0,10,0.5,628.163898998173,631.160967022879,708.584380452521,22.92601079097949,20.08204348385334,33.004152297507964,651.0899097891524,653.0444539966993,728.6326452740467,1124.073472,11240.73472,0.0,,,1.0,1.0,1.0,88.1,2144.0,2265.9,1.124073472,1.124073472,5.183344128,6.4922304,2.116952064,visdial:96511
dialog,visdial:96511,ReComp,,10,0.5,511.66692610131577,511.32652000524104,530.2233898604754,19.532856496516615,19.611872965469956,19.91698981146328,531.1997825978324,530.924407474231,549.788986085332,0.0,0.0,0.0,0.0,511.6667097900063,,,,88.1,2144.0,2265.9,1.124073472,0.0,5.070674636800001,8.0131767808,2.1169324032,visdial:96511
dialog,visdial:96511,SparseVLM 25%,0.25,10,0.5,669.4779790879693,675.9266295121051,740.9652997856028,29.65633432031609,24.50677251908928,45.58932761719916,699.1343134082854,711.0071210190654,764.2905118118506,831.4159104,8314.159104,,,,0.2462686567164179,0.2462686567164179,0.6927705223880597,88.1,2144.0,2265.9,1.124073472,0.7787249664,5.183344128,6.4926930432,2.116952064,visdial:96511
dialog,visdial:96511,Static+Diverse 25%,0.25,10,0.5,303.8945582928136,306.7190109868534,336.0953255789354,19.668277609162033,19.60395200876519,20.17211342754308,323.56283590197563,326.3229629956186,356.0909866035217,284.164096,2841.64096,14.540671918075532,49.65308794635348,53.22033589472994,0.2388059701492537,0.2388059701492537,0.2527985074626865,88.1,2144.0,2265.9,1.124073472,0.284164096,5.183344128,6.492549273600001,2.116952064,visdial:96511
dialog,visdial:96511,Static+Diverse 50%,0.5,10,0.5,505.49587988643907,508.72136451653205,539.3371426704107,21.705289010424167,19.986202503787354,30.07430806756018,527.2011688968632,528.6651145142969,560.2967483893735,580.386816,5803.86816,20.90358609566465,86.1840522789862,54.702500882558525,0.4925373134328358,0.4925373134328358,0.5163246268656716,88.1,2144.0,2265.9,1.124073472,0.580386816,5.183344128,6.492327936,2.116952064,visdial:96511
