metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:100528,Prefix25,0.25,hidden,2,False,True,True,778.0164629220963,993.2397190714255,-215.22325614932925,3161.000788793899,5073.091792175546,-1912.0910033816472
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:100528,Prefix25,0.25,worst,7,False,True,False,1829.2449539294466,993.2397190714255,836.0052348580211,4212.2292798012495,5073.091792175546,-860.8625123742968
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:100528,Prefix45,0.45,hidden,2,False,True,True,875.1364450436085,993.2397190714255,-118.10327402781695,4123.680302873254,5073.091792175546,-949.4114893022925
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:100528,Prefix45,0.45,worst,,True,,False,1926.364936050959,993.2397190714255,933.1252169795334,5174.908793880604,5073.091792175546,101.81700170505792
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:112033,Prefix25,0.25,hidden,2,False,True,True,857.8123489860445,1144.7406390216202,-286.9282900355756,3526.825512875803,5859.328728867695,-2332.503215991892
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:112033,Prefix25,0.25,worst,5,False,True,False,1741.3079891121015,1144.7406390216202,596.5673500904813,4410.32115300186,5859.328728867695,-1449.007575865835
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:112033,Prefix45,0.45,hidden,2,False,True,True,1052.7228730497882,1144.7406390216202,-92.01776597183198,4944.420157233253,5859.328728867695,-914.9085716344416
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:112033,Prefix45,0.45,worst,10,False,True,False,1936.2185131758451,1144.7406390216202,791.477874154225,5827.91579735931,5859.328728867695,-31.412931508384645
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:126379,Prefix25,0.25,hidden,2,False,True,True,868.5605729697272,1134.2792049981654,-265.71863202843815,3556.467068847269,5809.021976077929,-2252.5549072306603
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:126379,Prefix25,0.25,worst,6,False,True,False,2005.633123102598,1134.2792049981654,871.3539181044325,4693.5396189801395,5809.021976077929,-1115.4823570977896
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:126379,Prefix45,0.45,hidden,2,False,True,True,1088.9790810178965,1134.2792049981654,-45.300123980268836,5058.559737866744,5809.021976077929,-750.4622382111847
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:126379,Prefix45,0.45,worst,,True,,False,2226.051631150767,1134.2792049981654,1091.7724261526018,6195.632287999615,5809.021976077929,386.61031192168593
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:133780,Prefix25,0.25,hidden,2,False,True,True,1314.481527893804,1649.7952890349552,-335.3137611411512,4732.156764017418,8214.467993122526,-3482.3112291051075
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:133780,Prefix25,0.25,worst,5,False,True,False,2573.6897668102756,1649.7952890349552,923.8944777753204,5991.36500293389,8214.467993122526,-2223.102990188636
