metric,turns_n,method,budget,scenario,n_dialogs,persistence_charged,cumulative_ms_mean,cumulative_ms_p50,cumulative_ms_p95,delta_vs_recomp_ms_mean,delta_vs_recomp_ms_p50,delta_vs_recomp_ms_p95,reduction_vs_recomp_pct_of_means,strictly_better_dialog_fraction,is_direct_two_turn_case
sum_of_per_request_e2e_ms_with_persistence_scenario,1,ReComp,,recompute_no_persistence,100,False,549.0454097744077,546.9173025339842,620.4589580593163,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,FullLoad,,hidden,100,False,549.1536478383932,547.2250045277178,619.3834052945019,0.10823806398548186,0.24672754807397723,4.81469677761197,-0.01971386374579609,0.37,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,FullLoad,,worst,100,False,549.1536478383932,547.2250045277178,619.3834052945019,0.10823806398548186,0.24672754807397723,4.81469677761197,-0.01971386374579609,0.37,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix25,0.25,hidden,100,False,549.1092623875011,547.5204139947891,618.1079989357384,0.06385261309333146,-0.013769022189080715,4.354746977332976,-0.011629750828734409,0.51,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix25,0.25,worst,100,False,549.1092623875011,547.5204139947891,618.1079989357384,0.06385261309333146,-0.013769022189080715,4.354746977332976,-0.011629750828734409,0.51,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix45,0.45,hidden,100,False,549.7933848015964,547.7405624696985,619.4137005426453,0.7479750271886587,0.14068291056901217,5.645142513094469,-0.136231906117934,0.46,False
sum_of_per_request_e2e_ms_with_persistence_scenario,1,Prefix45,0.45,worst,100,False,549.7933848015964,547.7405624696985,619.4137005426453,0.7479750271886587,0.14068291056901217,5.645142513094469,-0.136231906117934,0.46,False
sum_of_per_request_e2e_ms_with_persistence_scenario,2,ReComp,,recompute_no_persistence,100,False,1107.5239493499976,1122.3804880282842,1273.471193347359,0.0,0.0,0.0,0.0,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,FullLoad,,hidden,100,False,1258.9561053947546,1256.2143889954314,1480.844680563314,151.432156044757,147.98044442432,249.77446225821038,-13.673036698992558,0.01,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,FullLoad,,worst,100,True,2238.701135010924,2236.716748040635,2605.0691622542217,1131.1771856609266,1105.8876996976323,1378.8890857016668,-102.13568621471447,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix25,0.25,hidden,100,False,851.8348677351605,840.8918114728294,1063.036561012268,-255.68908161483705,-260.61043998925015,-126.31639725877908,23.086551019045697,1.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix25,0.25,worst,100,True,1831.5798973513301,1811.653135519009,2156.102130981162,724.0559480013326,698.6866323859431,977.8690402279608,-65.3760984966762,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix45,0.45,hidden,100,False,990.5392419686541,990.1031969930045,1149.6400341158733,-116.98470738134347,-115.8755625365302,-44.64369383640591,10.562724846717897,0.99,True
sum_of_per_request_e2e_ms_with_persistence_scenario,2,Prefix45,0.45,worst,100,True,1970.2842715848237,1963.408122828696,2279.6568156336434,862.7603222348262,840.0665940134786,1106.0398173111025,-77.899924669004,0.0,True
sum_of_per_request_e2e_ms_with_persistence_scenario,3,ReComp,,recompute_no_persistence,100,False,1667.0188381825574,1704.5103295240551,1870.3703947656322,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,FullLoad,,hidden,100,False,1974.6730722661596,1967.544639017433,2255.9233086707536,307.6542340836022,289.80602155206725,500.7256919750944,-18.455354374940214,0.01,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,FullLoad,,worst,100,True,2954.418101882329,2945.613829884678,3356.2920860014856,1287.3992636997718,1270.4143305309117,1553.4525638795458,-77.22763739750775,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix25,0.25,hidden,100,False,1169.331496617524,1151.3909304048866,1436.0050184535794,-497.6873415650334,-510.8504770323634,-244.60688215331174,29.8549320598938,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix25,0.25,worst,100,True,2149.0765262336936,2112.81360295834,2518.3808367990423,482.0576880511362,438.6683627963066,764.0664447564632,-28.917350962673737,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix45,0.45,hidden,100,False,1447.437256560661,1445.4049599007703,1694.8278716590721,-219.58158162189648,-233.27343503478914,-20.97255022381434,13.172111591809731,0.96,False
sum_of_per_request_e2e_ms_with_persistence_scenario,3,Prefix45,0.45,worst,100,True,2427.1822861768305,2405.262836429756,2819.4788729946595,760.1634479942732,737.2307498008013,1021.4597732876427,-45.60017143075781,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,ReComp,,recompute_no_persistence,100,False,2230.120038697496,2280.205716029741,2488.4215653524734,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,FullLoad,,hidden,100,False,2706.258401151281,2712.291448027827,3031.853336642962,476.1383624537848,468.2542066439055,745.3539826092309,-21.35034680607928,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,FullLoad,,worst,100,True,3686.0034307674505,3682.724932965357,4138.929344061762,1455.8833920699544,1446.4385249302723,1765.5042536731344,-65.28273666023219,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix25,0.25,hidden,100,False,1489.6416422072798,1470.6400544382632,1834.312982345,-740.4783964902163,-766.1355711752549,-377.0499652426225,33.20352194685867,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix25,0.25,worst,100,True,2469.3866718234494,2444.434928765986,2887.7713045978453,239.26663312595338,205.05312597379088,542.8442479402293,-10.728867907294237,0.04,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix45,0.45,hidden,100,False,1897.5899836746976,1886.4906505332328,2157.073308288818,-332.5300550227985,-345.89049156056717,-35.27699118130841,14.910859023400958,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,4,Prefix45,0.45,worst,100,True,2877.335013290867,2854.4067784096114,3320.2889699372463,647.2149745933712,633.0922009074129,918.5068861406762,-29.021530830751942,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,ReComp,,recompute_no_persistence,100,False,2799.194348414894,2864.41606056178,3150.6732868554536,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,FullLoad,,hidden,100,False,3438.071124192793,3451.328943425324,3896.4988479274325,638.8767757778987,628.3166675711982,958.195338526275,-22.823594801113998,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,FullLoad,,worst,100,True,4417.816153808963,4415.251547063235,5057.242788845906,1618.6218053940684,1626.1457821237855,1950.5302735662553,-57.82455963840627,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix25,0.25,hidden,100,False,1814.2530891287606,1796.4247414493002,2156.5679183229804,-984.9412592861336,-1013.9830354601145,-509.86250252462924,35.18659788106097,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix25,0.25,worst,100,True,2793.9981187449303,2764.6981110447086,3290.846481936751,-5.196229669963941,-38.27095008455217,336.41095896018663,0.18563304376869594,0.57,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix45,0.45,hidden,100,False,2354.339904820081,2358.990019536577,2785.192553093657,-444.85444359481335,-467.2242908272892,-125.86460618185829,15.892231414611214,0.99,False
sum_of_per_request_e2e_ms_with_persistence_scenario,5,Prefix45,0.45,worst,100,True,3334.0849344362505,3314.189131895546,3880.3752081934363,534.8905860213563,516.8969643418677,810.5589756218251,-19.10873342268107,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,ReComp,,recompute_no_persistence,100,False,3374.124160860665,3455.9081409242935,3774.825232854346,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,FullLoad,,hidden,100,False,4169.493768264074,4190.742989012506,4672.638667415594,795.3696074034087,773.5395428608172,1167.4306662171148,-23.572624168060475,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,FullLoad,,worst,100,True,5149.2387978802435,5166.582482750528,5784.56585224485,1775.1146370195784,1769.9147057137452,2091.940487170359,-52.60964186234289,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,Prefix25,0.25,hidden,100,False,2144.0043412405066,2114.187178609427,2535.90508463094,-1230.1198196201585,-1263.2365034660324,-678.0312017479448,36.4574556529177,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,Prefix25,0.25,worst,100,True,3123.7493708566763,3079.998209141195,3662.825357943075,-250.3747900039889,-287.6283564255573,120.73225845233517,7.420437958635285,0.83,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,Prefix45,0.45,hidden,100,False,2817.1295450557955,2837.692982633598,3328.754741774173,-556.9946158048697,-576.7934526083991,-188.44523180159766,16.507828083682384,0.98,False
sum_of_per_request_e2e_ms_with_persistence_scenario,6,Prefix45,0.45,worst,100,True,3796.874574671965,3797.611386340577,4420.884347945685,422.75041381129995,381.97450450388715,725.8407249231823,-12.529189610600033,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,ReComp,,recompute_no_persistence,100,False,3949.8294477863237,4035.8974325936288,4460.679988772608,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,FullLoad,,hidden,100,False,4898.758435116615,4921.760364493821,5496.972024755086,948.9289873302914,922.200316505041,1380.6693348975386,-24.02455599347757,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,FullLoad,,worst,100,True,5878.503464732785,5883.927473623771,6556.888700823765,1928.674016946461,1929.7165584866889,2283.171389391646,-48.829298642942256,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,Prefix25,0.25,hidden,100,False,2479.8874305782374,2468.61474000616,2979.463157762075,-1469.9420172080863,-1497.3777305567637,-829.9150123493749,37.215328829752714,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,Prefix25,0.25,worst,100,True,3459.632460194407,3408.5884840460494,4097.463829943445,-490.1969875919167,-511.6006074822508,-1.5425116347616878,12.41058618028803,0.95,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,Prefix45,0.45,hidden,100,False,3282.4372892046813,3305.9098813682795,3896.0052395297676,-667.3921585816424,-679.0824609342963,-239.6031355659947,16.89673357809618,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,7,Prefix45,0.45,worst,100,True,4262.182318820851,4250.832671939861,5046.020323882112,312.3528710345272,276.18964709108695,648.4460624458734,-7.908009071368505,0.02,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,ReComp,,recompute_no_persistence,100,False,4527.780635241652,4622.1308370586485,5136.94392684265,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,FullLoad,,hidden,100,False,5627.822128953412,5677.803693397436,6271.333497518207,1100.0414937117603,1075.0068534980528,1573.1114997994152,-24.29537962041861,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,FullLoad,,worst,100,True,6607.567158569582,6632.244865060784,7270.9066458570305,2079.78652332793,2060.942643904127,2462.4565606063697,-45.933906495824075,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,Prefix25,0.25,hidden,100,False,2811.9330970873125,2816.8622935190797,3337.022351514315,-1715.8475381543394,-1764.9192720418796,-897.9653409274761,37.895995331557465,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,Prefix25,0.25,worst,100,True,3791.678126703482,3758.046418079175,4411.65224230499,-736.1025085381698,-767.0870120055042,-151.05251772329228,16.25746845615199,0.98,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,Prefix45,0.45,hidden,100,False,3749.7764185769483,3757.2865200345404,4346.857226331485,-778.0042166647036,-801.9121110555716,-294.3209203716835,17.182904370612928,1.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,8,Prefix45,0.45,worst,100,True,4729.521448193118,4691.223354428075,5495.388528885087,201.74081295146607,169.94788992451504,607.8433383023366,-4.455622504792545,0.21,False
sum_of_per_request_e2e_ms_with_persistence_scenario,9,ReComp,,recompute_no_persistence,100,False,5108.788608092582,5215.492282470223,5738.9892617822625,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_e2e_ms_with_persistence_scenario,9,FullLoad,,hidden,100,False,6347.438393676421,6412.0182152837515,7114.79446600424,1238.6497855838388,1215.1309354230762,1716.1339234327897,-24.24546953502351,0.0,False
