dialog_id,image_id,method,budget,n_turns,quality_mean,turn1_end_to_end_ttft_ms,reuse_turns_end_to_end_ttft_ms_mean,request_ttft_sum_10turn_ms,request_e2e_sum_10turn_ms,ssd_read_bytes_turn2_10,one_time_ssd_write_bytes,persist_ms_once,two_turn_ttft_hidden_ms,two_turn_ttft_worst_ms,two_turn_e2e_hidden_ms,two_turn_e2e_worst_ms,ten_turn_ttft_hidden_ms,ten_turn_ttft_worst_ms,ten_turn_e2e_hidden_ms,ten_turn_e2e_worst_ms
visdial:100528,visdial:100528,ReComp,,10,0.6,475.58365704026073,489.6936542483875,4882.826545275748,5073.091792175546,0,0,0.0,954.7672640765086,954.7672640765086,993.2397190714255,993.2397190714255,4882.826545275748,4882.826545275748,5073.091792175546,5073.091792175546
visdial:100528,visdial:100528,FullLoad,,10,0.6,480.0401229877025,634.75577499614,6192.842097952962,6413.034524885006,9654239232,1091109370,1051.2284910073504,1067.0629589585587,2118.291449965909,1106.318106991239,2157.5465979985893,6192.842097952962,7244.070588960312,6413.034524885006,7464.263015892357
visdial:100528,visdial:100528,Prefix25,0.25,10,0.6,476.1347760213539,256.1454529899897,2781.443852931261,3161.000788793899,2557476864,1091109370,1051.2284910073504,739.6601319778711,1790.8886229852214,778.0164629220963,1829.2449539294466,2781.443852931261,3832.6723439386114,3161.000788793899,4212.2292798012495
visdial:100528,visdial:100528,Prefix45,0.45,10,0.6,475.79803701955825,363.164085868953,3744.2748098401353,4123.680302873254,4369416192,1091109370,1051.2284910073504,837.1796039864421,1888.4080949937925,875.1364450436085,1926.364936050959,3744.2748098401353,4795.503300847486,4123.680302873254,5174.908793880604
visdial:112033,visdial:112033,ReComp,,10,0.7,548.0281680356711,565.0293612205941,5633.292419021018,5859.328728867695,0,0,0.0,1107.0638911332935,1107.0638911332935,1144.7406390216202,1144.7406390216202,5633.292419021018,5633.292419021018,5859.328728867695,5859.328728867695
visdial:112033,visdial:112033,FullLoad,,10,0.7,552.0720239728689,683.891287422739,6707.09361077752,7004.1932329768315,11041505280,1248404319,883.495640126057,1161.467979894951,2044.963620021008,1227.0849138731137,2110.5805539991707,6707.09361077752,7590.589250903577,7004.1932329768315,7887.6888731028885
visdial:112033,visdial:112033,Prefix25,0.25,10,0.7,547.9290260700509,305.2761774484275,3295.4146231058985,3526.825512875803,2887778304,1248404319,883.495640126057,819.3401229800656,1702.8357631061226,857.8123489860445,1741.3079891121015,3295.4146231058985,4178.9102632319555,3526.825512875803,4410.32115300186
visdial:112033,visdial:112033,Prefix45,0.45,10,0.7,548.2179670361802,462.10652289705143,4707.176673109643,4944.420157233253,5303697408,1248404319,883.495640126057,1013.5803170269355,1897.0759571529925,1052.7228730497882,1936.2185131758451,4707.176673109643,5590.6723132357,4944.420157233253,5827.91579735931
visdial:126379,visdial:126379,ReComp,,10,0.5,528.924533049576,563.3577044484102,5599.143873085268,5809.021976077929,0,0,0.0,1096.2426230544224,1096.2426230544224,1134.2792049981654,1134.2792049981654,5599.143873085268,5599.143873085268,5809.021976077929,5809.021976077929
visdial:126379,visdial:126379,FullLoad,,10,0.5,528.2209470169619,709.3151619968315,6912.057404988445,7168.5099977767095,11041505280,1248404312,1137.0725501328707,1180.9983610874042,2318.070911220275,1220.117460936308,2357.1900110691786,6912.057404988445,8049.129955121316,7168.5099977767095,8305.58254790958
visdial:126379,visdial:126379,Prefix25,0.25,10,0.5,528.2708489103243,308.3226298784009,3303.1745178159326,3556.467068847269,2887778304,1248404312,1137.0725501328707,828.854791005142,1965.9273411380127,868.5605729697272,2005.633123102598,3303.1745178159326,4440.247067948803,3556.467068847269,4693.5396189801395
visdial:126379,visdial:126379,Prefix45,0.45,10,0.6,554.5915660914034,474.11246420556887,4821.603743941523,5058.559737866744,5303697408,1248404312,1137.0725501328707,1050.0570581061766,2187.1296082390472,1088.9790810178965,2226.051631150767,4821.603743941523,5958.676294074394,5058.559737866744,6195.632287999615
visdial:133780,visdial:133780,ReComp,,10,0.0,691.4990330114961,713.0152942328197,7108.636681106873,8214.467993122526,0,0,0.0,1352.2977870889008,1352.2977870889008,1649.7952890349552,1649.7952890349552,7108.636681106873,7108.636681106873,8214.467993122526,8214.467993122526
visdial:133780,visdial:133780,FullLoad,,10,0.0,694.7209490463138,860.6820133281872,8440.859068999998,9562.512314063497,13363052544,1512660039,1259.2082389164716,1469.6682541398332,2728.8764930563048,1768.6402520630509,3027.8484909795225,8440.859068999998,9700.06730791647,9562.512314063497,10821.720552979968
visdial:133780,visdial:133780,Prefix25,0.25,10,0.0,691.7911099735647,321.03178846753303,3581.0772061813623,4732.156764017418,3548381184,1512660039,1259.2082389164716,1013.002322986722,2272.2105619031936,1314.481527893804,2573.6897668102756,3581.0772061813623,4840.285445097834,4732.156764017418,5991.36500293389
visdial:133780,visdial:133780,Prefix45,0.45,10,0.0,691.9513610191643,495.4350769985467,5150.867054006085,6290.77143012546,6266290176,1512660039,1259.2082389164716,1229.4088570633903,2488.617095979862,1528.4714001463726,2787.679639062844,5150.867054006085,6410.075292922556,6290.77143012546,7549.979669041932
